dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpintfref cpitch.order.stm.cpint-cpintfref cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpintfref cpitch.weight.stm.cpint-cpintfref cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.51 cpitch.53 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 11 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 53 96 4 600000 0 0 23 240 0 0 0.7716246 0.2283754 1.0 1.0 0.016547455 5.917247 4.78784 0.016547455 0.016547455 0.016547455 0.08074087 0.13097084 0.016547455 0.016547455 0.016547455 0.016547455 0.08074087 0.016547455 0.016547455 0.08074087 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 0.08074087 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 0.016547455 5.917247 4.78784 
701 1 12 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 61 96 4 600000 0 0 23 264 0 0 0.811721 0.18827896 1.0 1.0 0.01693134 5.88416 4.660432 0.01693134 0.13580088 0.13580088 0.01693134 0.01693134 0.13580088 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 0.01693134 5.88416 4.660432 
701 1 13 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 72 96 4 600000 0 0 23 288 0 0 0.64707005 0.35292998 1.0 1.0 0.01872753 5.7386956 5.0759935 0.01872753 0.01872753 0.04836699 0.01872753 0.01872753 0.01872753 0.01872753 0.01872753 0.04836699 0.04836699 0.04836699 0.01872753 0.04836699 0.01872753 0.01872753 0.04836699 0.01872753 0.06996534 0.01872753 0.01872753 0.01872753 0.01872753 0.04836699 0.01872753 0.01872753 0.04836699 0.01872753 0.01872753 0.01872753 0.01872753 0.01872753 0.01872753 0.01872753 0.01872753 0.01872753 0.01872753 0.01872753 0.01872753 0.01872753 5.7386956 5.0759935 
701 2 1 "Schoenberg_I" NA 0 0 1 0 NA 0 0 0 NA NA 79 96 4 600000 0 -1 23 0 0 0 0.5 0.5 1.0 1.0 0.02631578 5.247928 5.247927 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 5.247928 5.247927 
701 2 2 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 85 96 4 600000 0 -1 23 24 0 0 0.75974244 0.24025762 1.0 1.0 0.016182832 5.949392 4.8165274 0.016182832 0.016182832 0.016182832 0.016182832 0.016182832 0.016182832 0.016182832 0.016182832 0.016182832 0.016182832 0.016182832 0.016182832 0.016182832 0.016182832 0.06709023 0.016182832 0.016182832 0.016182832 0.016182832 0.016182832 0.016182832 0.016182832 0.10689423 0.016182832 0.06709023 0.016182832 0.06709023 0.06709023 0.016182832 0.016182832 0.016182832 0.016182832 0.016182832 0.016182832 0.016182832 0.10689423 0.016182832 0.016182832 0.016182832 5.949392 4.8165274 
701 2 3 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 -1 23 48 0 0 0.7469679 0.2530321 1.0 1.0 0.05202319 4.2647014 4.8599973 0.015933163 0.015933163 0.015933163 0.015933163 0.015933163 0.015933163 0.015933163 0.015933163 0.015933163 0.015933163 0.015933163 0.015933163 0.015933163 0.015933163 0.015933163 0.015933163 0.015933163 0.015933163 0.015933163 0.015933163 0.12933722 0.015933163 0.015933163 0.015933163 0.05202319 0.015933163 0.015933163 0.05202319 0.015933163 0.015933163 0.05202319 0.05202319 0.05202319 0.08052892 0.015933163 0.015933163 0.015933163 0.05202319 0.05202319 4.2647014 4.8599973 
701 2 4 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 86 96 4 600000 0 -1 23 72 1 0 0.9704367 0.029563315 1.0 1.0 0.007897224 6.9844384 3.322775 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 0.048568588 0.007897224 0.50444615 0.007897224 0.048568588 0.048568588 0.007897224 0.048568588 0.007897224 0.048568588 0.007897224 0.007897224 0.007897224 0.007897224 0.007897224 6.9844384 3.322775 
701 2 5 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 84 96 4 600000 0 -1 23 96 0 0 0.76472384 0.23527618 1.0 1.0 0.10041305 3.3159814 4.8192854 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.10041305 0.017598461 0.10041305 0.017598461 0.017598461 0.017598461 0.10041305 0.10041305 0.017598461 0.017598461 0.017598461 0.017598461 0.017598461 0.10041305 3.3159814 4.8192854 
701 2 6 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 80 96 4 600000 0 -1 23 120 1 0 0.95687443 0.043125615 1.0 1.0 0.4607762 1.1178619 3.5558991 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.008259272 0.037605133 0.008259272 0.008259272 0.037605133 0.008259272 0.4607762 0.037605133 0.037605133 0.008259272 0.065815054 0.037605133 0.037605133 0.008259272 0.008259272 0.008259272 0.4607762 1.1178619 3.5558991 
701 2 7 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 -1 23 144 1 0 0.8391877 0.16081235 1.0 1.0 0.013816039 6.177512 4.504235 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.077449456 0.013816039 0.13106722 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.077449456 0.18065518 0.077449456 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 0.013816039 6.177512 4.504235 
