dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpintfref cpitch.order.stm.cpintfref cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpintfref cpitch.weight.stm.cpintfref cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 11 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 53 96 4 600000 0 0 23 240 2 0 0.8895718 0.11042822 1.0 1.0 0.017828442 5.8096757 4.256053 0.0032228348 0.0040285434 0.015086275 0.0046214433 0.0045030117 0.007628091 0.0032228348 0.017828442 0.0040285434 0.1595432 0.036298603 0.014625326 0.04307162 0.0040285434 0.015086275 0.0046214433 0.0045030117 0.007628091 0.0032228348 0.017828442 0.0040285434 0.1595432 0.036298603 0.014625326 0.04307162 0.0040285434 0.015086275 0.0046214433 0.0045030117 0.007628091 0.0032228348 0.017828442 0.0040285434 0.1595432 0.036298603 0.014625326 0.04307162 0.0040285434 0.015086275 0.0046214433 0.0045030117 0.0032228348 0.017828442 0.0040285434 0.017828442 5.8096757 4.256053 
701 1 12 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 61 96 4 600000 0 0 23 264 3 0 0.74771035 0.25228974 1.0 1.0 0.0015966512 9.290735 4.896108 0.05408407 0.004460975 0.007609328 0.0015966512 0.028353661 0.030299474 0.05408407 0.036109857 0.002379059 0.063636 0.017137524 0.015081118 0.009693063 0.004460975 0.007609328 0.0015966512 0.028353661 0.030299474 0.05408407 0.036109857 0.002379059 0.063636 0.017137524 0.015081118 0.009693063 0.004460975 0.007609328 0.0015966512 0.028353661 0.030299474 0.05408407 0.036109857 0.002379059 0.063636 0.017137524 0.015081118 0.009693063 0.004460975 0.007609328 0.0015966512 0.028353661 0.05408407 0.036109857 0.002379059 0.0015966512 9.290735 4.896108 
701 1 13 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 72 96 4 600000 0 0 23 288 2 0 0.76250064 0.23749936 1.0 1.0 0.053412396 4.2266817 4.9103937 0.019972792 0.009692323 0.053412396 0.010166735 0.07366884 0.011690792 0.019972792 0.0154784 0.0021866306 0.032332122 0.0035228229 0.025320953 0.0077048438 0.009692323 0.053412396 0.010166735 0.07366884 0.011690792 0.019972792 0.0154784 0.0021866306 0.032332122 0.0035228229 0.025320953 0.0077048438 0.009692323 0.053412396 0.010166735 0.07366884 0.011690792 0.019972792 0.0154784 0.0021866306 0.032332122 0.0035228229 0.025320953 0.0077048438 0.009692323 0.053412396 0.010166735 0.07366884 0.019972792 0.0154784 0.0021866306 0.053412396 4.2266817 4.9103937 
701 2 1 "Schoenberg_I" NA 0 0 1 0 NA 0 0 0 NA NA 79 96 4 600000 0 -1 23 0 0 0 0.70251286 0.29748717 1.0 1.0 0.046484534 4.4271054 5.0233626 0.015181595 0.0048070275 0.04280751 0.0057244645 0.022148386 0.008587002 0.015181595 0.041431 0.0019875786 0.046484534 0.010645715 0.04926403 0.034508094 0.0048070275 0.04280751 0.0057244645 0.022148386 0.008587002 0.015181595 0.041431 0.0019875786 0.046484534 0.010645715 0.04926403 0.034508094 0.0048070275 0.04280751 0.0057244645 0.022148386 0.008587002 0.015181595 0.041431 0.0019875786 0.046484534 0.010645715 0.04926403 0.034508094 0.0048070275 0.04280751 0.0057244645 0.022148386 0.015181595 0.041431 0.0019875786 0.046484534 4.4271054 5.0233626 
701 2 2 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 85 96 4 600000 0 -1 23 24 1 0 0.6703715 0.32962856 1.0 1.0 0.0017277903 9.176856 4.635237 0.012362626 0.0024982234 0.021638073 0.0017277903 0.0072344253 0.0031569407 0.012362626 0.053127732 0.0041282247 0.0948089 0.016348433 0.0601326 0.017809495 0.0024982234 0.021638073 0.0017277903 0.0072344253 0.0031569407 0.012362626 0.053127732 0.0041282247 0.0948089 0.016348433 0.0601326 0.017809495 0.0024982234 0.021638073 0.0017277903 0.0072344253 0.0031569407 0.012362626 0.053127732 0.0041282247 0.0948089 0.016348433 0.0601326 0.017809495 0.0024982234 0.021638073 0.0017277903 0.0072344253 0.012362626 0.053127732 0.0041282247 0.0017277903 9.176856 4.635237 
701 2 3 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 -1 23 48 2 0 0.72535634 0.2746437 1.0 1.0 0.00562956 7.4727626 4.880658 0.0047347653 0.00562956 0.08249967 0.034730792 0.012704862 0.03566229 0.0047347653 0.037825253 0.0059184562 0.013192112 0.00936729 0.007891275 0.020250935 0.00562956 0.08249967 0.034730792 0.012704862 0.03566229 0.0047347653 0.037825253 0.0059184562 0.013192112 0.00936729 0.007891275 0.020250935 0.00562956 0.08249967 0.034730792 0.012704862 0.03566229 0.0047347653 0.037825253 0.0059184562 0.013192112 0.00936729 0.007891275 0.020250935 0.00562956 0.08249967 0.034730792 0.012704862 0.0047347653 0.037825253 0.0059184562 0.00562956 7.4727626 4.880658 
701 2 4 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 86 96 4 600000 0 -1 23 72 2 0 0.63828975 0.36171022 0.99999994 1.0 0.019234808 5.7001367 5.1608934 0.0101113515 0.017110655 0.05558065 0.00870567 0.019234808 0.0062356084 0.0101113515 0.02589537 0.01757902 0.048556164 0.008519548 0.03689428 0.024133923 0.017110655 0.05558065 0.00870567 0.019234808 0.0062356084 0.0101113515 0.02589537 0.01757902 0.048556164 0.008519548 0.03689428 0.024133923 0.017110655 0.05558065 0.00870567 0.019234808 0.0062356084 0.0101113515 0.02589537 0.01757902 0.048556164 0.008519548 0.03689428 0.024133923 0.017110655 0.05558065 0.00870567 0.019234808 0.0101113515 0.02589537 0.01757902 0.019234808 5.7001367 5.1608934 
701 2 5 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 84 96 4 600000 0 -1 23 96 2 0 0.926909 0.07309098 1.0 1.0 0.15437229 2.6955144 3.8420255 0.010510625 0.0015173835 0.15437229 7.734296e-4 0.035410546 0.0018184602 0.010510625 0.0096995225 3.40998e-4 0.03436048 4.869932e-4 0.0026198146 0.0070443135 0.0015173835 0.15437229 7.734296e-4 0.035410546 0.0018184602 0.010510625 0.0096995225 3.40998e-4 0.03436048 4.869932e-4 0.0026198146 0.0070443135 0.0015173835 0.15437229 7.734296e-4 0.035410546 0.0018184602 0.010510625 0.0096995225 3.40998e-4 0.03436048 4.869932e-4 0.0026198146 0.0070443135 0.0015173835 0.15437229 7.734296e-4 0.035410546 0.010510625 0.0096995225 3.40998e-4 0.15437229 2.6955144 3.8420255 
701 2 6 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 80 96 4 600000 0 -1 23 120 3 0 0.75511193 0.24488808 1.0 1.0 0.0044827713 7.801393 4.76494 0.00709496 0.012508921 0.070722856 0.0024772682 0.03195095 0.0025350593 0.00709496 0.025710879 3.0006404e-4 0.023594918 0.0044827713 0.040375378 0.058959 0.012508921 0.070722856 0.0024772682 0.03195095 0.0025350593 0.00709496 0.025710879 3.0006404e-4 0.023594918 0.0044827713 0.040375378 0.058959 0.012508921 0.070722856 0.0024772682 0.03195095 0.0025350593 0.00709496 0.025710879 3.0006404e-4 0.023594918 0.0044827713 0.040375378 0.058959 0.012508921 0.070722856 0.0024772682 0.03195095 0.00709496 0.025710879 3.0006404e-4 0.0044827713 7.801393 4.76494 
701 2 7 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 -1 23 144 4 0 0.8492433 0.15075667 1.0 1.0 0.006509757 7.2631803 4.378525 9.047203e-4 0.0019817995 0.02469251 0.008485921 0.0015136686 0.006509757 9.047203e-4 0.021316038 0.0024684896 0.12619637 0.047988854 0.017809665 0.052709527 0.0019817995 0.02469251 0.008485921 0.0015136686 0.006509757 9.047203e-4 0.021316038 0.0024684896 0.12619637 0.047988854 0.017809665 0.052709527 0.0019817995 0.02469251 0.008485921 0.0015136686 0.006509757 9.047203e-4 0.021316038 0.0024684896 0.12619637 0.047988854 0.017809665 0.052709527 0.0019817995 0.02469251 0.008485921 0.0015136686 9.047203e-4 0.021316038 0.0024684896 0.006509757 7.2631803 4.378525 
701 2 8 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 88 96 4 600000 0 -1 23 168 3 0 0.63694614 0.3630539 1.0 1.0 0.008789371 6.8300242 5.148861 0.008789371 0.003788876 0.044977028 0.024011206 0.033293314 0.03401869 0.008789371 0.035639167 0.001654902 0.031144256 0.0151396 0.026244432 0.020984739 0.003788876 0.044977028 0.024011206 0.033293314 0.03401869 0.008789371 0.035639167 0.001654902 0.031144256 0.0151396 0.026244432 0.020984739 0.003788876 0.044977028 0.024011206 0.033293314 0.03401869 0.008789371 0.035639167 0.001654902 0.031144256 0.0151396 0.026244432 0.020984739 0.003788876 0.044977028 0.024011206 0.033293314 0.008789371 0.035639167 0.001654902 0.008789371 6.8300242 5.148861 
701 2 9 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 82 96 4 600000 0 -1 23 192 2 0 0.79577005 0.20422998 0.99999994 1.0 0.003437484 8.184431 4.7286434 0.034816734 0.0019173431 0.017576363 0.029634373 0.044785716 0.002682813 0.034816734 0.08016961 0.0020923256 0.025429916 0.0021670987 0.006687238 0.003437484 0.0019173431 0.017576363 0.029634373 0.044785716 0.002682813 0.034816734 0.08016961 0.0020923256 0.025429916 0.0021670987 0.006687238 0.003437484 0.0019173431 0.017576363 0.029634373 0.044785716 0.002682813 0.034816734 0.08016961 0.0020923256 0.025429916 0.0021670987 0.006687238 0.003437484 0.0019173431 0.017576363 0.029634373 0.044785716 0.034816734 0.08016961 0.0020923256 0.003437484 8.184431 4.7286434 
701 2 10 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 81 96 4 600000 0 -1 23 216 2 0 0.8428606 0.15713939 0.99999994 1.0 0.089119144 3.4881208 4.460231 0.002543919 0.0015654711 0.044099722 0.0026998683 0.01703531 0.0035998244 0.002543919 0.0055880165 0.0010751981 0.043225486 0.01903788 0.089119144 0.07802634 0.0015654711 0.044099722 0.0026998683 0.01703531 0.0035998244 0.002543919 0.0055880165 0.0010751981 0.043225486 0.01903788 0.089119144 0.07802634 0.0015654711 0.044099722 0.0026998683 0.01703531 0.0035998244 0.002543919 0.0055880165 0.0010751981 0.043225486 0.01903788 0.089119144 0.07802634 0.0015654711 0.044099722 0.0026998683 0.01703531 0.002543919 0.0055880165 0.0010751981 0.089119144 3.4881208 4.460231 
