dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpintfref-cpitch cpitch.order.stm.cpint-cpintfref-cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpintfref-cpitch cpitch.weight.stm.cpint-cpintfref-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 1 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 0 0 NA NA 90 96 4 600000 0 0 23 0 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 1 2 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 0 23 24 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 1 3 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 62 96 4 600000 0 0 23 48 0 0 0.8777367 0.12226336 1.0 1.0 0.013745108 6.184938 4.5183525 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.21135297 0.013745108 0.21135297 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 0.013745108 6.184938 4.5183525 
701 1 4 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 57 96 4 600000 0 0 23 72 0 0 0.9920376 0.007962438 0.99999994 1.0 0.006076309 7.362589 2.7572 5.218712e-4 5.218712e-4 5.218712e-4 5.218712e-4 5.218712e-4 5.218712e-4 5.218712e-4 0.008832067 0.0014557262 0.036160342 5.218712e-4 0.006076309 5.218712e-4 0.06962073 0.3425961 0.006076309 0.20516177 0.008832067 0.2123162 0.03525328 5.218712e-4 0.03797393 0.0014557262 0.010665223 5.218712e-4 0.0014557262 5.218712e-4 5.218712e-4 0.0014557262 5.218712e-4 5.218712e-4 5.218712e-4 5.218712e-4 5.218712e-4 5.218712e-4 5.218712e-4 5.218712e-4 5.218712e-4 5.218712e-4 5.218712e-4 5.218712e-4 5.218712e-4 5.218712e-4 5.218712e-4 0.006076309 7.362589 2.7572 
701 1 5 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 55 96 4 600000 0 0 23 96 1 0 0.9936821 0.0063179233 1.0 1.0 0.32039875 1.6420596 2.664343 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 0.006102255 0.0043202434 0.009657006 0.32039875 7.3763536e-4 0.23699977 0.0025334 0.2352605 0.034385968 7.3763536e-4 0.05898982 7.3763536e-4 0.007880916 0.051968355 7.3763536e-4 7.3763536e-4 7.3763536e-4 0.006102255 0.0025334 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 7.3763536e-4 0.32039875 1.6420596 2.664343 
701 1 6 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 51 96 4 600000 0 0 23 120 2 0 0.98557377 0.014426297 1.0 1.0 9.0668234e-4 10.107115 3.0123012 3.87613e-4 0.0026968212 0.0059779603 3.87613e-4 0.008232493 9.0668234e-4 0.05633131 0.08853692 0.30298868 0.22363022 9.0668234e-4 0.089019716 0.0014211633 0.027032107 0.11431723 3.87613e-4 0.02063349 9.0668234e-4 0.032918613 0.009480915 3.87613e-4 0.0029507175 3.87613e-4 3.87613e-4 0.0014211633 3.87613e-4 3.87613e-4 3.87613e-4 3.87613e-4 3.87613e-4 3.87613e-4 3.87613e-4 3.87613e-4 3.87613e-4 3.87613e-4 3.87613e-4 3.87613e-4 3.87613e-4 3.87613e-4 3.87613e-4 3.87613e-4 3.87613e-4 3.87613e-4 3.87613e-4 9.0668234e-4 10.107115 3.0123012 
701 1 7 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 76 96 4 600000 0 0 23 144 1 0 0.995842 0.0041580875 1.0 1.0 0.004232032 7.8844337 2.5159588 0.004232032 0.004232032 0.004232032 0.004232032 0.17915353 0.5845632 0.004232032 0.004232032 0.004232032 0.06276969 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 0.004232032 7.8844337 2.5159588 
701 1 8 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 76 96 4 600000 0 0 23 168 0 0 0.99324566 0.00675439 1.0 1.0 0.14565402 2.7793825 2.6986723 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.011842358 0.011842358 0.0021300134 0.0021300134 0.0021300134 0.011842358 0.0021300134 0.0021300134 0.0021300134 0.021492125 0.13614422 0.0021300134 0.46739125 0.0021300134 0.14565402 0.11711073 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.0021300134 0.14565402 2.7793825 2.6986723 
701 1 9 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 58 96 4 600000 0 0 23 192 1 0 0.97724843 0.022751525 0.99999994 1.0 0.0017115783 9.190457 2.673565 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.009256627 0.009256627 0.0017115783 0.0017115783 0.0017115783 0.009256627 0.0017115783 0.0017115783 0.0017115783 0.032640032 0.13316055 0.0017115783 0.41937098 0.0017115783 0.19088309 0.13455841 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 0.0017115783 9.190457 2.673565 
701 1 10 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 56 96 4 600000 0 0 23 216 0 0 0.99795854 0.0020415161 1.0 1.0 0.0038925903 8.0050535 2.263623 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.5837137 0.25279707 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 0.0038925903 8.0050535 2.263623 
