dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpitch cpitch.order.stm.cpint-cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpitch cpitch.weight.stm.cpint-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 11 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 53 96 4 600000 0 0 23 240 1 0 0.9937238 0.0062762303 1.0 1.0 0.14503445 2.7855325 2.6660433 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 0.0027458656 8.6055254e-4 0.010226964 0.14503445 0.010226964 0.47263518 0.12424814 0.047286488 0.086896695 0.012090128 0.025400868 0.004622234 8.6055254e-4 0.025400868 0.004622234 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 0.0027458656 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 8.6055254e-4 0.14503445 2.7855325 2.6660433 
701 1 12 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 61 96 4 600000 0 0 23 264 2 0 0.98809254 0.011907505 1.0 1.0 8.326143e-4 10.230064 2.9304621 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 0.112473994 0.10393981 0.13856374 0.070246 8.326143e-4 0.38355643 0.082565576 0.029313186 0.02714481 8.326143e-4 0.0052927034 8.326143e-4 0.011893745 8.326143e-4 8.326143e-4 0.0052927034 8.326143e-4 0.0030735475 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 8.326143e-4 10.230064 2.9304621 
701 1 13 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 72 96 4 600000 0 0 23 288 0 0 0.9683632 0.03163677 1.0 1.0 0.0023292147 8.74594 3.441539 0.0023292147 0.0023292147 0.0023292147 0.0023292147 0.0023292147 0.0023292147 0.0023292147 0.0023292147 0.008348377 0.0053681144 0.0023292147 0.06221485 0.008348377 0.2057537 0.02286872 0.08427879 0.31162903 0.045499675 0.08976319 0.008348377 0.039886095 0.0053681144 0.0053681144 0.011293491 0.0023292147 0.008348377 0.0023292147 0.008348377 0.0053681144 0.0023292147 0.0023292147 0.0053681144 0.0023292147 0.0023292147 0.0023292147 0.0023292147 0.0023292147 0.0023292147 0.0023292147 0.0023292147 0.0023292147 0.0023292147 0.0023292147 0.0023292147 0.0023292147 8.74594 3.441539 
701 2 1 "Schoenberg_I" NA 0 0 1 0 NA 0 0 0 NA NA 79 96 4 600000 0 -1 23 0 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 2 2 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 85 96 4 600000 0 -1 23 24 0 0 0.9535302 0.046469804 1.0 1.0 0.002233877 8.806234 3.6407921 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.030989 0.002233877 0.012181657 0.016967904 0.026358763 0.035585634 0.0072990875 0.1152762 0.08037783 0.14538398 0.17942527 0.14538398 0.12822138 0.002233877 0.0072990875 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 0.002233877 8.806234 3.6407921 
701 2 3 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 -1 23 48 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 2 4 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 86 96 4 600000 0 -1 23 72 0 0 0.8335079 0.16649213 1.0 1.0 0.013252684 6.2375712 4.736801 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.09964324 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.09964324 0.013252684 0.09964324 0.013252684 0.17096289 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 0.013252684 6.2375712 4.736801 
701 2 5 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 84 96 4 600000 0 -1 23 96 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 2 6 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 80 96 4 600000 0 -1 23 120 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 2 7 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 -1 23 144 0 0 0.83410424 0.16589576 1.0 1.0 0.010756301 6.5386744 4.69699 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.074939705 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.12814046 0.045430064 0.15303288 0.074939705 0.045430064 0.045430064 0.010756301 0.010756301 0.010756301 0.010756301 0.010756301 0.045430064 0.010756301 0.010756301 0.010756301 6.5386744 4.69699 
