dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpintfref cpitch.order.stm.cpint-cpintfref cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpintfref cpitch.weight.stm.cpint-cpintfref cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 11 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 53 96 4 600000 0 0 23 240 1 0 0.9983287 0.0016713603 0.99999994 1.0 0.061112244 4.032395 2.1958408 5.2204647e-4 0.0013031189 0.012376335 5.2204647e-4 0.0044215517 0.0068440614 0.0013031189 0.061112244 0.0028630863 0.5980447 0.09763392 0.027830614 0.11941466 0.002083353 0.037578356 0.0060655843 5.2204647e-4 0.0028630863 0.002083353 0.0013031189 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 0.0013031189 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 5.2204647e-4 0.061112244 4.032395 2.1958408 
701 1 12 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 61 96 4 600000 0 0 23 264 2 0 0.99060106 0.009398969 0.99999994 1.0 1.1507899e-4 13.085088 2.819537 1.1507899e-4 0.006095385 0.007904486 4.5435713e-4 0.09608707 0.09410833 0.31159246 0.13814777 0.0014603923 0.215881 0.062226754 0.024661843 0.023957558 6.2287395e-4 0.010310606 1.1507899e-4 0.0014603923 7.909538e-4 1.1507899e-4 7.909538e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 4.5435713e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 1.1507899e-4 13.085088 2.819537 
701 1 13 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 72 96 4 600000 0 0 23 288 0 0 0.97710127 0.022898743 1.0 1.0 0.0035220543 8.149367 3.2840278 0.0035220543 0.0035220543 0.0035220543 0.0035220543 0.011022217 0.0035220543 0.011022217 0.011022217 0.0035220543 0.0035220543 0.0035220543 0.032945145 0.018393237 0.0035220543 0.19487259 0.05450058 0.42144427 0.032945145 0.040159088 0.0035220543 0.0035220543 0.011022217 0.0035220543 0.032945145 0.0035220543 0.0035220543 0.0035220543 0.0035220543 0.011022217 0.0035220543 0.0035220543 0.011022217 0.0035220543 0.0035220543 0.0035220543 0.0035220543 0.0035220543 0.0035220543 0.0035220543 0.0035220543 0.0035220543 0.0035220543 0.0035220543 0.0035220543 0.0035220543 8.149367 3.2840278 
701 2 1 "Schoenberg_I" NA 0 0 1 0 NA 0 0 0 NA NA 79 96 4 600000 0 -1 23 0 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 2 2 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 85 96 4 600000 0 -1 23 24 0 0 0.992476 0.007524018 1.0 1.0 3.9161596e-4 11.318273 2.7311053 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 1.2025908e-4 2.5622445e-4 5.2664615e-4 1.2025908e-4 1.2025908e-4 0.0018677213 5.2664615e-4 0.030296825 2.5622445e-4 0.0067816894 0.0016003733 0.04661888 0.3174453 0.0057226433 0.18884645 0.035264492 0.25095588 0.038529754 0.0016003733 0.053915966 3.9161596e-4 0.008764149 0.0038655049 0.0032007291 1.2025908e-4 3.9161596e-4 11.318273 2.7311053 
701 2 3 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 -1 23 48 1 0 0.99983925 1.608157e-4 1.0 1.0 0.002651678 8.558879 1.568007 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 4.885998e-4 0.004814427 4.885998e-4 4.885998e-4 4.885998e-4 0.0015702047 0.008058265 4.885998e-4 0.005895737 0.004814427 0.0015702047 0.04589485 0.002651678 0.752602 0.09129135 0.034004282 0.002651678 0.025356183 0.0037330783 0.002651678 8.558879 1.568007 
701 2 4 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 86 96 4 600000 0 -1 23 72 1 0 0.99842125 0.0015787454 1.0 1.0 0.06087804 4.0379343 2.1775513 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 5.9683603e-4 0.0022334694 0.0022334694 0.13565567 0.018550042 0.0022334694 0.07551637 0.0169201 0.055997428 0.5947832 0.008766007 0.06087804 5.9683603e-4 0.0071339896 5.9683603e-4 0.06087804 4.0379343 2.1775513 
701 2 5 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 84 96 4 600000 0 -1 23 96 1 0 0.9998585 1.4152961e-4 1.0 1.0 0.7073046 0.49959645 1.5394229 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 4.034649e-5 2.823479e-4 4.034649e-5 1.21020734e-4 4.034649e-5 6.04966e-4 0.0010082037 4.034649e-5 0.0431282 2.0168666e-4 0.0043948535 0.014633579 0.003911081 0.7073046 0.0013307768 0.13424015 0.052357007 0.03480592 1.21020734e-4 0.7073046 0.49959645 1.5394229 
701 2 6 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 80 96 4 600000 0 -1 23 120 2 0 0.9891509 0.010849092 1.0 1.0 0.0022866568 8.772545 2.8782547 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 1.2317611e-5 0.022399733 1.2317611e-5 5.2063606e-5 1.3061761e-4 0.004315979 0.041697554 5.2063606e-5 0.04790843 0.0022866568 0.11167098 0.20829885 0.028208105 0.32181376 0.0035577482 0.10908356 0.031204827 0.06693439 5.2063606e-5 0.0022866568 8.772545 2.8782547 
701 2 7 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 -1 23 144 2 0 0.990964 0.009036073 1.0 1.0 0.0062179933 7.329335 2.8043482 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 3.3390996e-4 0.0015231097 9.3038764e-4 3.3390996e-4 0.0021136792 0.0044636037 0.0015231097 3.3390996e-4 0.0062179933 3.3390996e-4 0.08775285 0.0068017133 0.22897471 0.22304076 0.014937445 0.19957295 0.0027027274 0.16984822 0.029370716 3.3390996e-4 3.3390996e-4 0.010876688 3.3390996e-4 0.0062179933 7.329335 2.8043482 
