dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpintfref cpitch.order.stm.cpint-cpintfref cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpintfref cpitch.weight.stm.cpint-cpintfref cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.88 probability information.content entropy 
700 1 11 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 73 96 4 600000 0 1 23 240 2 0 0.98672473 0.013275288 0.99999994 1.0 0.0015497396 9.333758 2.386544 6.6616357e-4 6.6616357e-4 6.6616357e-4 6.6616357e-4 6.6616357e-4 6.6616357e-4 6.6616357e-4 6.6616357e-4 6.6616357e-4 6.6616357e-4 6.6616357e-4 6.6616357e-4 6.6616357e-4 6.6616357e-4 6.6616357e-4 6.6616357e-4 0.0024261652 6.6616357e-4 6.6616357e-4 6.6616357e-4 0.0015497396 0.0067610103 6.6616357e-4 0.004167212 0.007813537 0.0015497396 0.042766456 0.0015497396 0.52318734 0.15494573 0.05209684 0.13028032 0.0024261652 0.034720432 0.0105798105 6.6616357e-4 0.003298253 0.005225995 6.6616357e-4 0.0015497396 9.333758 2.386544 
700 1 12 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 68 96 4 600000 0 1 23 264 1 0 0.99964744 3.52565e-4 1.0 1.0 6.9694105e-4 10.486676 1.6986793 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 6.9694105e-4 0.0023221516 6.9694105e-4 0.018563598 0.0023221516 0.07537736 0.01693983 0.054277986 0.72744745 0.007195799 0.060770363 6.9694105e-4 6.9694105e-4 0.007195799 6.9694105e-4 0.0039469195 0.0039469195 6.9694105e-4 6.9694105e-4 6.9694105e-4 10.486676 1.6986793 
700 1 13 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 59 96 4 600000 0 1 23 288 0 0 0.9894891 0.010510944 1.0 1.0 0.0028033503 8.478633 2.800191 0.0028033503 0.0028033503 0.0028033503 0.0028033503 0.0028033503 0.0028033503 0.0028033503 0.0028033503 0.0028033503 0.0028033503 0.0028033503 0.0028033503 0.0028033503 0.0028033503 0.0028033503 0.0028033503 0.0028033503 0.0028033503 0.035474148 0.019226158 0.0028033503 0.2115234 0.051640436 0.48042476 0.035474148 0.035474148 0.0028033503 0.0028033503 0.01105119 0.0028033503 0.027363164 0.0028033503 0.0028033503 0.0028033503 0.0028033503 0.01105119 0.0028033503 0.0028033503 0.0028033503 0.0028033503 8.478633 2.800191 
700 1 14 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 40 96 4 600000 0 1 23 312 0 0 0.99144083 0.008559132 1.0 1.0 1.4120605e-4 12.789911 2.6917741 1.4120605e-4 7.686715e-4 1.4120605e-4 2.6748524e-4 0.009255032 1.4120605e-4 0.0037389372 1.4120605e-4 0.0022583995 0.12125651 8.93414e-4 0.3005173 0.0012668088 0.19826941 0.1634984 0.01364541 0.142749 7.686715e-4 0.020572826 3.9323076e-4 0.001391046 0.013523641 1.4120605e-4 3.9323076e-4 1.4120605e-4 0.0017632141 1.4120605e-4 1.4120605e-4 2.6748524e-4 1.4120605e-4 1.4120605e-4 1.4120605e-4 1.4120605e-4 1.4120605e-4 1.4120605e-4 1.4120605e-4 1.4120605e-4 1.4120605e-4 1.4120605e-4 1.4120605e-4 12.789911 2.6917741 
700 2 1 "Schoenberg_P" NA 0 0 1 0 NA 0 0 0 NA NA 70 96 4 600000 0 0 23 0 0 0 0.5 0.5 1.0 1.0 0.025641028 5.2854023 5.285403 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 5.2854023 5.285403 
700 2 2 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 64 96 4 600000 0 0 23 24 0 0 0.9783793 0.021620655 1.0 1.0 0.0011662042 9.743964 3.1084993 0.0011662042 0.0011662042 0.0011662042 0.0011662042 0.0011662042 0.0011662042 0.0011662042 0.0011662042 0.0011662042 0.0011662042 0.0011662042 0.0042011305 0.002693711 0.002693711 0.005696418 0.0011662042 0.0071829776 0.011606275 0.0011662042 0.0261303 0.0011662042 0.124851845 0.23674276 0.09973191 0.16647956 0.0042011305 0.21888271 0.0011662042 0.005696418 0.04616835 0.0011662042 0.0071829776 0.0011662042 0.0011662042 0.0011662042 0.0011662042 0.0042011305 0.0011662042 0.0011662042 0.0011662042 9.743964 3.1084993 
700 2 3 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 66 96 4 600000 0 0 23 48 0 0 0.99118555 0.008814383 0.99999994 1.0 0.013542523 6.20636 2.7039192 1.726014e-4 1.726014e-4 4.2434252e-4 1.726014e-4 2.987154e-4 1.726014e-4 7.9950073e-4 1.726014e-4 2.987154e-4 0.009278467 1.726014e-4 0.0037675381 1.726014e-4 0.0022881709 0.1211168 9.241564e-4 0.30005708 0.0012972935 0.19799705 0.16328709 0.013542523 0.14257328 7.9950073e-4 0.02058351 4.2434252e-4 0.0014214445 0.013542523 1.726014e-4 4.2434252e-4 1.726014e-4 0.0017933489 1.726014e-4 1.726014e-4 2.987154e-4 1.726014e-4 1.726014e-4 1.726014e-4 1.726014e-4 1.726014e-4 0.013542523 6.20636 2.7039192 
700 2 4 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 63 96 4 600000 0 0 23 72 1 0 0.9997328 2.6717494e-4 1.0 1.0 4.1491678e-4 11.234891 1.632393 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 0.0013826112 0.0013826112 0.01621197 4.1491678e-4 0.07066928 0.010087703 0.042637512 0.7241054 0.024913829 0.08774453 4.1491678e-4 4.1491678e-4 0.004284799 4.1491678e-4 0.0023501057 0.0023501057 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 4.1491678e-4 11.234891 1.632393 
700 2 5 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 65 96 4 600000 0 0 23 96 0 0 0.9862361 0.013763839 1.0 1.0 0.2241843 2.1572428 2.904521 0.0010129876 0.0010129876 0.0010129876 0.0010129876 0.0010129876 0.0032004265 0.0021108654 0.0010129876 0.0021108654 0.008590171 0.0032004265 0.0010129876 0.011797937 0.0010129876 0.079957776 0.012864299 0.34972405 0.1492301 0.02029888 0.2241843 0.0032004265 0.058094867 0.031908028 0.0010129876 0.008590171 0.0010129876 0.0053651747 0.0010129876 0.0021108654 0.0010129876 0.0032004265 0.0010129876 0.0010129876 0.0010129876 0.0010129876 0.0010129876 0.0010129876 0.0010129876 0.0010129876 0.2241843 2.1572428 2.904521 
700 2 6 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 69 96 4 600000 0 0 23 120 1 0 0.9970582 0.0029417537 1.0 1.0 0.00244215 8.677632 2.3044176 2.4743847e-5 2.4743847e-5 2.4743847e-5 2.4743847e-5 2.4743847e-5 2.4743847e-5 2.4743847e-5 7.9337486e-5 6.115824e-5 4.0545262e-4 2.4743847e-5 3.8736608e-4 0.004425105 0.009363461 0.048538543 6.115824e-5 0.057986826 0.2294698 0.034040146 0.13064502 1.7008529e-4 0.45729592 0.009273867 0.00244215 0.013577837 7.9337486e-5 8.750696e-4 2.4743847e-5 1.7008529e-4 9.750432e-5 2.4743847e-5 9.750432e-5 2.4743847e-5 2.4743847e-5 2.4743847e-5 6.115824e-5 2.4743847e-5 2.4743847e-5 2.4743847e-5 0.00244215 8.677632 2.3044176 
