dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint cpitch.order.stm.cpint cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint cpitch.weight.stm.cpint cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.88 probability information.content entropy 
700 1 11 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 73 96 4 600000 0 1 23 240 2 1 0.80639213 0.19360788 1.0 1.0 0.11989549 3.0601506 3.2281601 6.1029936e-5 6.1029936e-5 6.1029936e-5 6.1029936e-5 6.1029936e-5 6.1029936e-5 6.1029936e-5 6.1029936e-5 6.1029936e-5 6.1029936e-5 6.1029936e-5 6.1029936e-5 1.1002927e-4 1.1002927e-4 6.1029936e-5 1.5410047e-4 1.9529113e-4 0.0024940032 2.1509897e-4 0.0013140786 0.0022373926 0.037340365 0.009129258 0.0028308516 0.07039351 0.016879097 0.08297824 0.11989549 0.09208048 0.34051663 0.05012437 0.0837024 0.023485506 0.018288152 0.028730042 5.900466e-4 0.00974232 0.005515806 1.5410047e-4 0.11989549 3.0601506 3.2281601 
700 1 12 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 68 96 4 600000 0 1 23 264 2 1 0.67611307 0.3238869 1.0 0.99999994 0.018686421 5.7418656 3.2307367 2.1117949e-4 2.1117949e-4 2.1117949e-4 2.1117949e-4 2.1117949e-4 2.1117949e-4 2.1117949e-4 2.1117949e-4 2.1117949e-4 2.1117949e-4 3.2093833e-4 3.2093833e-4 2.1117949e-4 4.1481262e-4 4.993849e-4 0.0034968804 5.391534e-4 0.0022560966 0.0034712497 0.0062239324 0.013578881 0.004433406 0.018686421 0.017127166 0.075582124 0.21794628 0.066210635 0.32013154 0.06062063 0.0689458 0.02489436 0.022638762 0.030514546 0.0012155155 0.01488424 0.009186978 0.008875625 0.004291379 3.693101e-4 0.018686421 5.7418656 3.2307367 
700 1 13 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 59 96 4 600000 0 1 23 288 3 0 0.89806694 0.10193308 1.0 1.0 0.0015104539 9.370802 3.4636273 6.965033e-5 6.965033e-5 6.965033e-5 6.965033e-5 6.965033e-5 1.0024549e-4 1.0024549e-4 6.965033e-5 1.2979805e-4 1.5859878e-4 0.0015983952 1.7277194e-4 6.730101e-4 0.0015104539 0.0028148321 0.0074180514 9.867331e-4 0.014227959 0.016154045 0.076130256 0.14166062 0.039730553 0.23817946 0.06288003 0.14714639 0.044844512 0.018783128 0.09809374 0.001628477 0.021138761 0.0055421526 0.03878992 0.009425591 1.8894636e-4 0.0089156 1.2979805e-4 1.4428014e-4 1.1512973e-4 6.965033e-5 0.0015104539 9.370802 3.4636273 
700 1 14 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 40 96 4 600000 0 1 23 312 1 0 0.8996503 0.100349724 1.0 1.0 6.192525e-5 13.979113 3.5393786 6.192525e-5 0.0016285154 0.00575465 6.803963e-4 0.008025754 0.0028758796 0.0065468736 9.840184e-4 0.013585944 0.014976124 0.04035159 0.10618873 0.046697993 0.28359696 0.039156023 0.10602909 0.037145544 0.039399594 0.12190933 4.0064022e-4 0.033667173 0.0029732299 0.043809723 0.029316328 1.798889e-4 0.0072848154 0.0057253726 1.3875176e-4 1.08800894e-4 2.108349e-4 7.788568e-5 6.192525e-5 7.788568e-5 6.192525e-5 6.192525e-5 6.192525e-5 6.192525e-5 6.192525e-5 6.192525e-5 6.192525e-5 13.979113 3.5393786 
700 2 1 "Schoenberg_P" NA 0 0 1 0 NA 0 0 0 NA NA 70 96 4 600000 0 0 23 0 0 0 0.5 0.5 1.0 1.0 0.025641028 5.2854023 5.285403 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 5.2854023 5.285403 
700 2 2 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 64 96 4 600000 0 0 23 24 0 0 0.95567244 0.04432754 1.0 1.0 0.0014842084 9.3960905 3.4720666 9.4535084e-5 9.4535084e-5 9.4535084e-5 9.4535084e-5 9.4535084e-5 1.2061083e-4 9.4535084e-5 1.4642552e-4 1.4642552e-4 9.4535084e-5 1.974576e-4 2.4787794e-4 0.0030475128 2.729038e-4 0.0012059037 0.0028686493 0.0055757603 0.013339402 0.0014842084 0.024506237 0.032177933 0.057752904 0.19498073 0.087901846 0.19978307 0.075403325 0.14244545 0.044094693 0.029048342 0.046871852 6.630962e-4 0.014338466 0.004878935 0.008561423 0.002823853 2.4787794e-4 0.003913016 1.974576e-4 9.4535084e-5 0.0014842084 9.3960905 3.4720666 
700 2 3 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 66 96 4 600000 0 0 23 48 1 0 0.9008004 0.099199556 1.0 1.0 0.06453243 3.953832 3.3433897 1.0269386e-4 1.2878426e-4 1.2878426e-4 1.0269386e-4 1.5430088e-4 1.7935871e-4 0.0014668338 1.9174085e-4 6.360805e-4 0.0013877099 0.002563194 0.005787675 0.0010458156 0.01024264 0.025511408 0.045995988 0.07216818 0.034071937 0.14489016 0.24002124 0.06453243 0.21220379 0.047335938 0.030789597 3.8095584e-4 0.0061930525 0.015751872 0.0038221248 0.015044013 0.014194302 0.0018463623 1.5430088e-4 1.6688167e-4 1.4160597e-4 2.2838698e-4 1.1582018e-4 1.0269386e-4 1.1582018e-4 1.0269386e-4 0.06453243 3.953832 3.3433897 
700 2 4 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 63 96 4 600000 0 0 23 72 2 0 0.94944024 0.05055982 1.0 1.0 0.037691094 4.7296324 2.9224381 7.862749e-5 8.925535e-5 7.862749e-5 9.981608e-5 1.5997981e-4 7.862749e-5 2.9694734e-4 1.4152296e-4 0.0017187526 1.5183937e-4 5.374044e-4 0.0030392397 0.0025918917 0.012806417 9.430434e-4 0.014258703 0.036403023 0.037691094 0.14676286 0.036045983 0.124086045 0.09047994 0.40553463 0.031017402 0.012041195 0.024842987 3.1307086e-4 0.0066989497 0.0031769741 0.0039596753 0.0012577832 1.4152296e-4 0.0017047998 1.2076594e-4 1.3116634e-4 1.1031754e-4 2.4117445e-4 8.925535e-5 7.862749e-5 0.037691094 4.7296324 2.9224381 
700 2 5 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 65 96 4 600000 0 0 23 96 2 0 0.9448291 0.055170875 1.0 1.0 0.043617383 4.518953 3.0967395 2.798209e-5 3.723199e-5 2.798209e-5 4.6348145e-5 5.5360062e-5 5.50505e-4 5.983312e-5 3.1981495e-4 0.0035861484 9.9291e-4 0.0030796675 3.17439e-4 0.004900088 0.1483965 0.020435724 0.17127255 0.017970089 0.11701098 0.25905165 0.043617383 0.10987467 0.005199777 0.060982265 2.2584229e-4 0.003735321 0.02170711 0.0020180838 0.0018102886 5.5360062e-5 0.0020725543 1.4644835e-4 5.086577e-5 4.1804607e-5 7.3141324e-5 3.2626253e-5 2.798209e-5 1.3370774e-4 2.798209e-5 2.798209e-5 0.043617383 4.518953 3.0967395 
700 2 6 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 69 96 4 600000 0 0 23 120 2 1 0.7002638 0.2997363 1.0 1.0 0.018228022 5.777698 3.6345744 3.8476312e-4 3.8476312e-4 4.7547018e-4 7.0205005e-4 3.8476312e-4 0.001141936 6.379836e-4 0.004306475 6.758025e-4 0.0018086915 0.008888557 0.005850258 0.02129223 0.0050120656 0.020588959 0.065568514 0.1288726 0.12455174 0.0409412 0.10917851 0.10786969 0.21081813 0.04618276 0.018228022 0.032945085 0.0011973297 0.011808117 0.009095755 0.008006334 0.0034210372 6.379836e-4 0.0042902557 5.5926666e-4 5.9917895e-4 5.1809475e-4 9.7487814e-4 4.3114048e-4 3.8476312e-4 3.8476312e-4 0.018228022 5.777698 3.6345744 
