dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpintfref-cpitch cpitch.order.stm.cpint-cpintfref-cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpintfref-cpitch cpitch.weight.stm.cpint-cpintfref-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.88 probability information.content entropy 
700 1 11 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 73 96 4 600000 0 1 23 240 1 0 0.9766181 0.023381865 1.0 1.0 0.002957319 8.401494 2.6138766 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.029195432 0.002957319 0.029195432 0.002957319 0.002957319 0.054760467 0.002957319 0.4356081 0.311187 0.016224109 0.029195432 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 0.002957319 8.401494 2.6138766 
700 1 12 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 68 96 4 600000 0 1 23 264 0 0 0.99929875 7.012243e-4 1.0 1.0 0.0016187166 9.270934 1.8755627 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.08071409 0.03553465 0.058127537 0.6898731 0.0016187166 0.08071409 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 0.0016187166 9.270934 1.8755627 
700 1 13 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 59 96 4 600000 0 1 23 288 0 0 0.841955 0.15804501 1.0 1.0 0.012156375 6.362143 4.497156 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.13857566 0.012156375 0.012156375 0.13857566 0.060047943 0.10079632 0.012156375 0.10079632 0.012156375 0.012156375 0.012156375 0.012156375 0.060047943 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 0.012156375 6.362143 4.497156 
700 1 14 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 40 96 4 600000 0 1 23 312 0 0 0.92364097 0.07635904 1.0 1.0 0.007746671 7.012208 3.9312272 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.058951195 0.007746671 0.10607381 0.007746671 0.034254096 0.10607381 0.034254096 0.30319846 0.007746671 0.034254096 0.007746671 0.007746671 0.082794 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 0.007746671 7.012208 3.9312272 
700 2 1 "Schoenberg_P" NA 0 0 1 0 NA 0 0 0 NA NA 70 96 4 600000 0 0 23 0 0 0 0.5 0.5 1.0 1.0 0.025641028 5.2854023 5.285403 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 5.2854023 5.285403 
700 2 2 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 64 96 4 600000 0 0 23 24 0 0 0.9133792 0.08662082 1.0 1.0 0.006054747 7.3677173 3.9786115 0.006054747 0.006054747 0.006054747 0.006054747 0.006054747 0.006054747 0.006054747 0.006054747 0.006054747 0.006054747 0.006054747 0.019687835 0.006054747 0.019687835 0.006054747 0.006054747 0.044632796 0.006054747 0.006054747 0.006054747 0.006054747 0.14610992 0.102299325 0.102299325 0.13529068 0.03239486 0.18868871 0.006054747 0.006054747 0.019687835 0.006054747 0.019687835 0.006054747 0.006054747 0.006054747 0.006054747 0.006054747 0.006054747 0.006054747 0.006054747 7.3677173 3.9786115 
700 2 3 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 66 96 4 600000 0 0 23 48 0 0 0.98886013 0.011139867 1.0 1.0 0.009030752 6.790938 2.8092573 9.412376e-4 9.412376e-4 0.0019651866 9.412376e-4 9.412376e-4 9.412376e-4 9.412376e-4 9.412376e-4 0.0019651866 0.013033368 9.412376e-4 0.005007315 9.412376e-4 0.009030752 0.1181296 0.0019651866 0.3531483 0.0029828537 0.2103514 0.12689401 0.009030752 0.09374358 0.0019651866 0.017021958 0.0019651866 0.0019651866 0.008027249 9.412376e-4 9.412376e-4 9.412376e-4 0.0029828537 9.412376e-4 9.412376e-4 9.412376e-4 9.412376e-4 9.412376e-4 9.412376e-4 9.412376e-4 9.412376e-4 0.009030752 6.790938 2.8092573 
700 2 4 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 63 96 4 600000 0 0 23 72 1 0 0.99977744 2.2261353e-4 1.0 1.0 0.0013670119 9.514758 1.5903649 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.09969661 0.0013670119 0.0013670119 0.72623485 0.09969661 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.02595621 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 0.0013670119 9.514758 1.5903649 
700 2 5 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 65 96 4 600000 0 0 23 96 0 0 0.905113 0.09488704 1.0 1.0 0.2030221 2.3002913 4.0856786 0.0074856193 0.0074856193 0.0074856193 0.0074856193 0.0074856193 0.0074856193 0.0074856193 0.0074856193 0.0074856193 0.0074856193 0.0074856193 0.0074856193 0.0074856193 0.0074856193 0.061976895 0.022258298 0.049161613 0.21417579 0.049161613 0.2030221 0.022258298 0.022258298 0.08684066 0.0074856193 0.022258298 0.0074856193 0.022258298 0.0074856193 0.0074856193 0.0074856193 0.022258298 0.0074856193 0.0074856193 0.0074856193 0.0074856193 0.0074856193 0.0074856193 0.0074856193 0.0074856193 0.2030221 2.3002913 4.0856786 
700 2 6 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 69 96 4 600000 0 0 23 120 1 0 0.98797184 0.012028161 1.0 1.0 0.0121533135 6.3625064 2.837187 5.8845174e-4 5.8845174e-4 5.8845174e-4 5.8845174e-4 5.8845174e-4 5.8845174e-4 5.8845174e-4 5.8845174e-4 5.8845174e-4 0.003780382 5.8845174e-4 0.004834256 5.8845174e-4 0.003780382 0.049396656 5.8845174e-4 0.101315044 0.054508552 0.18598457 0.35253292 5.8845174e-4 0.12359726 0.0027228692 0.0121533135 0.08524214 5.8845174e-4 0.003780382 5.8845174e-4 5.8845174e-4 0.0016601937 5.8845174e-4 5.8845174e-4 5.8845174e-4 5.8845174e-4 5.8845174e-4 5.8845174e-4 5.8845174e-4 5.8845174e-4 5.8845174e-4 0.0121533135 6.3625064 2.837187 
