dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpitch cpitch.order.stm.cpint-cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpitch cpitch.weight.stm.cpint-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.88 probability information.content entropy 
700 1 11 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 73 96 4 600000 0 1 23 240 2 0 0.9891579 0.010842134 1.0 1.0 0.03116867 5.0037594 2.2852998 4.036703e-4 4.036703e-4 4.036703e-4 4.036703e-4 4.036703e-4 4.036703e-4 4.036703e-4 4.036703e-4 4.036703e-4 4.036703e-4 4.036703e-4 4.036703e-4 0.0012797074 4.036703e-4 4.036703e-4 4.036703e-4 4.036703e-4 0.009673678 8.430006e-4 0.010641851 4.036703e-4 0.009867395 0.005282132 0.0012797074 0.028757634 0.0044232034 0.06661641 0.03116867 0.20041026 0.54710823 0.01858891 0.049137905 0.0021485796 0.0030135047 8.430006e-4 4.036703e-4 4.036703e-4 4.036703e-4 8.430006e-4 0.03116867 5.0037594 2.2852998 
700 1 12 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 68 96 4 600000 0 1 23 264 2 0 0.98388225 0.016117718 1.0 1.0 0.006077958 7.3621974 2.9636946 4.467264e-4 4.467264e-4 4.467264e-4 4.467264e-4 4.467264e-4 4.467264e-4 4.467264e-4 4.467264e-4 4.467264e-4 4.467264e-4 4.467264e-4 4.467264e-4 4.467264e-4 4.467264e-4 4.467264e-4 4.467264e-4 4.467264e-4 0.0017474219 0.005572251 4.467264e-4 0.004939049 0.0011004435 0.006077958 0.08271816 0.029785987 0.28920227 0.10380038 0.15478621 0.20871264 0.020434849 0.04991102 0.0023904042 0.027445713 4.467264e-4 4.467264e-4 0.0011004435 4.467264e-4 4.467264e-4 4.467264e-4 0.006077958 7.3621974 2.9636946 
700 1 13 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 59 96 4 600000 0 1 23 288 2 0 0.99722415 0.0027757974 1.0 1.0 0.0013766645 9.504607 2.2883291 3.454932e-4 3.454932e-4 3.454932e-4 3.454932e-4 3.454932e-4 3.454932e-4 3.454932e-4 3.454932e-4 3.454932e-4 6.89658e-4 6.89658e-4 3.454932e-4 3.454932e-4 0.0013766645 3.454932e-4 3.454932e-4 0.002062674 0.0024054237 0.020495322 0.023219964 0.03921183 0.06231754 0.5661105 0.13874155 0.022198334 0.09161856 0.005827373 0.007877479 6.89658e-4 6.89658e-4 0.004117418 0.0013766645 3.454932e-4 3.454932e-4 0.0017197652 3.454932e-4 3.454932e-4 3.454932e-4 3.454932e-4 0.0013766645 9.504607 2.2883291 
700 1 14 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 40 96 4 600000 0 1 23 312 1 0 0.99366903 0.006330992 1.0 1.0 5.0689065e-4 10.946038 2.5809193 5.0689065e-4 5.0689065e-4 9.6157537e-4 5.0689065e-4 9.6157537e-4 5.0689065e-4 0.0027698348 0.001414838 0.001414838 0.023765089 0.005019187 0.10598735 0.001414838 0.42578265 0.14382821 0.029097646 0.033092897 9.6157537e-4 0.014413247 0.001414838 0.001414838 0.004120434 0.0036706035 0.18840797 5.0689065e-4 9.6157537e-4 5.0689065e-4 5.0689065e-4 5.0689065e-4 5.0689065e-4 5.0689065e-4 5.0689065e-4 5.0689065e-4 5.0689065e-4 5.0689065e-4 5.0689065e-4 5.0689065e-4 5.0689065e-4 5.0689065e-4 5.0689065e-4 10.946038 2.5809193 
700 2 1 "Schoenberg_P" NA 0 0 1 0 NA 0 0 0 NA NA 70 96 4 600000 0 0 23 0 0 0 0.5 0.5 1.0 1.0 0.025641028 5.2854023 5.285403 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 0.025641028 5.2854023 5.285403 
700 2 2 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 64 96 4 600000 0 0 23 24 0 0 0.9743348 0.025665168 1.0 1.0 0.0045608087 7.776495 3.1917884 5.7401386e-4 5.7401386e-4 5.7401386e-4 5.7401386e-4 5.7401386e-4 5.7401386e-4 5.7401386e-4 5.7401386e-4 5.7401386e-4 5.7401386e-4 5.7401386e-4 9.842071e-4 0.005341974 9.842071e-4 0.0021923303 0.0013898045 0.014174281 0.014174281 0.0045608087 0.033673156 5.7401386e-4 0.096872784 0.053226743 0.24253747 0.20083997 0.0107432585 0.1941057 0.0033821529 0.0510242 0.038121805 9.842071e-4 0.014554047 5.7401386e-4 0.0041689333 0.0013898045 5.7401386e-4 0.0013898045 5.7401386e-4 5.7401386e-4 0.0045608087 7.776495 3.1917884 
700 2 3 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 66 96 4 600000 0 0 23 48 1 0 0.9995372 4.6279814e-4 1.0 1.0 0.019662231 5.6684294 1.7662114 9.015588e-5 9.015588e-5 1.6387428e-4 9.015588e-5 9.015588e-5 9.015588e-5 9.015588e-5 9.015588e-5 1.6387428e-4 0.0011951809 3.112685e-4 0.0017106258 9.015588e-5 0.0016369958 0.010909176 0.0028149262 0.05260213 0.0020787548 0.03914846 0.18553953 0.019662231 0.6527894 0.0030357589 0.0121597685 1.6387428e-4 0.0035510072 0.0019315071 0.0029621487 0.0020051314 9.015588e-5 0.0019315071 9.015588e-5 9.015588e-5 9.015588e-5 9.015588e-5 9.015588e-5 9.015588e-5 9.015588e-5 9.015588e-5 0.019662231 5.6684294 1.7662114 
700 2 4 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 63 96 4 600000 0 0 23 72 1 0 0.97647995 0.02352005 1.0 1.0 0.025138348 5.3139663 3.1409674 4.440988e-4 4.440988e-4 4.440988e-4 4.440988e-4 4.440988e-4 4.440988e-4 4.440988e-4 4.440988e-4 4.440988e-4 4.440988e-4 4.440988e-4 0.0039672162 4.440988e-4 0.010180629 4.440988e-4 0.0035118856 0.08067072 0.025138348 0.2154188 0.0036871715 0.13539968 0.230115 0.12272807 0.09466229 0.0018518388 0.027344026 0.0027732344 0.0117846625 0.014503204 0.0013872064 0.0041419994 4.440988e-4 0.0018518388 4.440988e-4 4.440988e-4 4.440988e-4 4.440988e-4 4.440988e-4 4.440988e-4 0.025138348 5.3139663 3.1409674 
700 2 5 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 65 96 4 600000 0 0 23 96 2 0 0.9992949 7.050822e-4 1.0 1.0 0.018150756 5.783827 1.8764632 1.2390975e-4 1.2390975e-4 1.2390975e-4 1.2390975e-4 1.2390975e-4 1.2390975e-4 1.2390975e-4 1.2390975e-4 1.2390975e-4 3.714414e-4 1.2390975e-4 1.2390975e-4 0.0055609928 0.035297144 0.0072896867 0.013420424 0.015806284 0.038955797 0.6411527 0.018150756 0.18597633 0.011239981 0.014160891 4.9515476e-4 0.00469651 3.714414e-4 0.0023494028 2.4769842e-4 1.2390975e-4 0.0016079161 2.4769842e-4 2.4769842e-4 1.2390975e-4 1.2390975e-4 1.2390975e-4 1.2390975e-4 1.2390975e-4 1.2390975e-4 1.2390975e-4 0.018150756 5.783827 1.8764632 
700 2 6 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 69 96 4 600000 0 0 23 120 1 0 0.9906865 0.009313507 1.0 1.0 0.024279859 5.364096 2.7316694 1.03395374e-4 1.03395374e-4 1.03395374e-4 1.03395374e-4 1.03395374e-4 1.03395374e-4 1.03395374e-4 1.03395374e-4 1.03395374e-4 3.5308377e-4 1.03395374e-4 0.0013396848 0.018604426 3.5308377e-4 0.058053445 2.7013785e-4 0.049938023 0.1342839 0.034222826 0.19353074 0.005873901 0.40428388 0.012535925 0.024279859 0.043457404 1.869478e-4 0.008057051 3.5308377e-4 0.005236151 0.0018298135 1.869478e-4 0.0010120168 1.03395374e-4 1.03395374e-4 1.03395374e-4 1.03395374e-4 1.03395374e-4 1.03395374e-4 1.03395374e-4 0.024279859 5.364096 2.7316694 
