dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpintfref-cpitch cpitch.order.stm.cpintfref-cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpintfref-cpitch cpitch.weight.stm.cpintfref-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.88 probability information.content entropy 
700 1 11 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 73 96 4 600000 0 1 23 240 2 1 0.968589 0.031410962 1.0 0.99999994 0.0021507407 8.86095 2.564993 6.584865e-5 6.584865e-5 6.584865e-5 6.584865e-5 6.584865e-5 6.584865e-5 6.584865e-5 6.584865e-5 1.199353e-4 2.7829796e-4 6.584865e-5 3.3032114e-4 2.91874e-4 8.149731e-4 0.0013642051 2.2595543e-4 0.011420504 6.1254075e-4 0.005176856 0.0010407736 0.008589148 0.060429536 3.820788e-4 0.060199384 0.003530179 0.04049903 0.072131835 0.0021507407 0.4098053 0.2695645 0.021617059 0.024214135 0.0015866243 0.002540255 9.3021416e-5 1.4665302e-4 6.584865e-5 1.199353e-4 6.584865e-5 0.0021507407 8.86095 2.564993 
700 1 12 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 68 96 4 600000 0 1 23 264 1 0 0.9991279 8.721502e-4 1.0 1.0 1.6358402e-4 12.57768 1.8082178 2.667205e-5 2.667205e-5 2.667205e-5 2.667205e-5 2.667205e-5 2.667205e-5 2.667205e-5 2.667205e-5 4.9507176e-5 1.179663e-4 2.667205e-5 1.4077676e-4 1.1811156e-4 3.5735857e-4 6.07988e-4 9.5151925e-5 0.005442471 2.661865e-4 0.0024062614 4.5990292e-4 0.0038668418 0.017927548 1.6358402e-4 0.017813845 0.0016211796 0.09519968 0.044969384 0.054745886 0.67051417 4.148406e-4 0.0801508 2.4368921e-4 7.104894e-4 0.0011545309 3.809113e-5 6.092091e-5 2.667205e-5 4.9507176e-5 2.667205e-5 1.6358402e-4 12.57768 1.8082178 
700 1 13 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 59 96 4 600000 0 1 23 288 1 0 0.95043707 0.049562976 1.0 1.0 0.0020978635 8.896863 3.3271904 1.776871e-4 1.776871e-4 1.776871e-4 1.776871e-4 1.776871e-4 1.776871e-4 1.776871e-4 1.776871e-4 3.2001952e-4 7.309519e-4 1.776871e-4 8.6480944e-4 7.802049e-4 0.0020978635 0.003477929 5.9579586e-4 0.027979013 0.0015852324 0.119405225 0.0026668573 0.021549549 0.20153126 0.04165332 0.1651717 0.008840963 0.16499902 0.06688716 0.0058674957 0.08357068 0.002577561 0.061944857 0.001553902 0.004033535 0.0064011565 2.493908e-4 3.8983757e-4 1.776871e-4 3.2001952e-4 1.776871e-4 0.0020978635 8.896863 3.3271904 
700 1 14 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 40 96 4 600000 0 1 23 312 1 0 0.9534431 0.046556868 1.0 0.99999994 9.0664675e-5 13.4291 3.3562553 9.0664675e-5 9.0664675e-5 9.0664675e-5 9.0664675e-5 9.0664675e-5 9.0664675e-5 9.0664675e-5 9.0664675e-5 1.635943e-4 0.05146813 9.0664675e-5 0.09944812 3.96697e-4 0.028949725 0.10052701 0.02666696 0.3168584 8.144866e-4 0.032337237 0.0013724779 0.011072544 0.123775676 5.779304e-4 0.047568005 0.0045672148 0.05043472 0.034491166 0.0030024447 0.04312459 0.0013155311 0.013405761 7.9180923e-4 0.0020785467 0.003303443 1.2738821e-4 1.9940994e-4 9.0664675e-5 1.635943e-4 9.0664675e-5 9.0664675e-5 13.4291 3.3562553 
700 2 1 "Schoenberg_P" NA 0 0 1 0 NA 0 0 0 NA NA 70 96 4 600000 0 0 23 0 0 0 0.8718006 0.12819937 1.0 1.0 0.010160377 6.620902 4.204753 0.0016189053 0.0019284087 0.010518559 0.0016189053 0.008830365 0.0026734062 0.025329309 0.01738228 0.0060720933 0.089706294 0.002962509 0.047593653 0.0031054928 0.06618695 0.13472803 0.004082132 0.105924204 0.008952437 0.097993396 0.05270522 0.00462453 0.08560826 0.0074700797 0.04921119 0.010160377 0.03312039 0.050820928 0.002527141 0.026476737 0.006329527 0.013555177 0.0065854304 0.0016189053 0.0031054928 0.0017746508 0.0017746508 0.0017746508 0.0017746508 0.0017746508 0.010160377 6.620902 4.204753 
700 2 2 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 64 96 4 600000 0 0 23 24 1 0 0.7918038 0.20819625 1.0 1.0 0.03009193 5.0544796 3.8147874 7.244173e-4 8.491704e-4 0.003964125 7.244173e-4 0.00338175 0.0011424657 0.008806283 0.006255764 0.002406718 0.027771372 0.0012541399 0.026964208 0.0013089963 0.031780325 0.04018132 0.0016780229 0.06008477 0.0034241828 0.03009193 0.017132543 0.0018793466 0.12535672 0.0815605 0.088839106 0.19694282 0.033747558 0.14698501 0.0010855502 0.009167862 0.016745532 0.004991017 0.016801324 7.244173e-4 0.0013089963 7.8744424e-4 7.8744424e-4 7.8744424e-4 7.8744424e-4 7.8744424e-4 0.03009193 5.0544796 3.8147874 
700 2 3 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 66 96 4 600000 0 0 23 48 1 0 0.9351204 0.06487952 1.0 1.0 0.008316875 6.909743 3.117777 2.736591e-4 3.3014576e-4 0.0030020413 2.736591e-4 0.0016884109 4.6867883e-4 0.005228319 0.0034911549 0.0021253214 0.030168474 5.232498e-4 0.013747833 5.5038516e-4 0.02138479 0.122347474 0.0017529572 0.28916842 0.0036376817 0.217166 0.111330956 0.008316875 0.092820525 0.0023954827 0.02418069 0.0035000169 0.007866103 0.017031908 4.4123005e-4 0.0054827784 0.0011813206 0.004556894 0.0012326246 2.736591e-4 5.5038516e-4 3.019942e-4 3.019942e-4 3.019942e-4 3.019942e-4 3.019942e-4 0.008316875 6.909743 3.117777 
700 2 4 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 63 96 4 600000 0 0 23 72 2 0 0.9994449 5.550647e-4 1.0 1.0 4.3497834e-4 11.166769 1.5488524 6.1235274e-5 7.4834825e-5 5.232796e-4 6.1235274e-5 4.2818557e-4 1.0882812e-4 0.0014331203 9.307324e-4 2.787268e-4 0.0061079166 1.2242365e-4 0.0029533515 1.292211e-4 0.0043103085 0.009736212 1.767982e-4 0.007389797 4.3497834e-4 0.104219064 0.003319759 2.1104977e-4 0.7228024 0.09768474 0.0030687044 5.1035424e-4 0.0019489826 0.0031840547 1.0203001e-4 0.0015077904 0.024643313 6.9985853e-4 3.059039e-4 6.1235274e-5 1.292211e-4 6.803524e-5 6.803524e-5 6.803524e-5 6.803524e-5 6.803524e-5 4.3497834e-4 11.166769 1.5488524 
700 2 5 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 65 96 4 600000 0 0 23 96 1 0 0.8257796 0.17422043 1.0 0.99999994 0.14994735 2.737472 3.9125724 7.887188e-4 9.308703e-4 0.0046425266 7.887188e-4 0.003933576 0.0012684291 0.010672691 0.007471178 0.0027588797 0.035357546 0.0013979995 0.019397222 0.0014618312 0.026509544 0.08509586 0.015014404 0.0674633 0.21181275 0.09356271 0.14994735 0.021942733 0.043165926 0.062958345 0.020021105 0.024375787 0.01375934 0.030816866 0.0012025986 0.011130106 0.0028695494 0.017949507 0.0029793254 7.887188e-4 0.0014618312 8.604148e-4 8.604148e-4 8.604148e-4 8.604148e-4 8.604148e-4 0.14994735 2.737472 3.9125724 
700 2 6 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 69 96 4 600000 0 0 23 120 2 0 0.9622512 0.03774875 0.99999994 0.99999994 0.015688155 5.9941807 2.994131 1.2055736e-4 1.4623595e-4 9.511538e-4 1.2055736e-4 7.841341e-4 2.0971942e-4 0.002509091 0.0016559025 5.186519e-4 0.012970568 2.3488769e-4 0.008895545 2.4743148e-4 0.0101142265 0.0585927 3.3460514e-4 0.09989286 0.052843872 0.18390527 0.32887104 4.2613162e-4 0.11662852 0.0026984366 0.015688155 0.08168087 0.003373437 0.008309138 1.9709155e-4 0.0026348373 0.0015835637 0.0012584265 5.6725525e-4 1.2055736e-4 2.4743148e-4 1.3342092e-4 1.3342092e-4 1.3342092e-4 1.3342092e-4 1.3342092e-4 0.015688155 5.9941807 2.994131 
700 2 7 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 62 96 4 600000 0 0 23 144 2 0 0.9849322 0.015067784 1.0 1.0 0.050439 4.3093166 2.6620235 6.177077e-5 7.526969e-5 5.116639e-4 6.177077e-5 4.199018e-4 1.0886683e-4 0.0013809567 9.024939e-4 2.7504395e-4 0.0057629915 1.2225803e-4 0.0028161278 1.2894506e-4 0.0040875347 0.010430006 1.756192e-4 0.050439 4.447166e-4 0.007893975 0.062415272 0.001607995 0.41689312 0.0030352485 0.1768938 0.011358537 0.121642664 0.09833147 1.02161954e-4 0.018461982 2.882537e-4 6.8144e-4 0.0016557665 6.177077e-5 1.2894506e-4 6.852532e-5 6.852532e-5 6.852532e-5 6.852532e-5 6.852532e-5 0.050439 4.3093166 2.6620235 
700 2 8 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 61 96 4 600000 0 0 23 168 3 0 0.99179476 0.008205229 1.0 0.99999994 0.0014834985 9.39678 2.4554048 2.8024015e-5 3.419523e-5 2.3557527e-4 2.8024015e-5 1.93061e-4 4.9585844e-5 6.402201e-4 0.0029256046 4.0890847e-4 0.013425193 5.5730194e-5 0.0029796853 5.880023e-5 0.022479467 0.10751845 0.0014834985 0.18643387 0.0027481765 0.10809834 0.012108932 9.684248e-5 0.09372612 4.421231e-4 0.0044758962 2.32604e-4 8.6862536e-4 0.0014137526 4.6511355e-5 0.43593705 1.321854e-4 3.1436887e-4 1.3828196e-4 2.8024015e-5 5.880023e-5 3.1110892e-5 3.1110892e-5 3.1110892e-5 3.1110892e-5 3.1110892e-5 0.0014834985 9.39678 2.4554048 
700 2 9 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 67 96 4 600000 0 0 23 192 2 0 0.999937 6.29595e-5 1.0 1.0 0.010309065 6.5999427 1.2290301 1.08801956e-4 1.3297852e-4 9.3073637e-4 1.08801956e-4 7.6152117e-4 1.9341877e-4 0.0025502976 0.0016559254 4.9560645e-4 0.010877054 2.1759456e-4 0.019551387 2.2968232e-4 0.0076745343 0.031635597 3.2641474e-4 0.84212536 7.8576995e-4 0.012050432 0.0059227436 3.7476918e-4 0.010309065 6.285647e-4 0.0054755434 9.066493e-4 0.003468821 0.005668387 1.8133085e-4 0.0169774 5.197809e-4 0.0012449882 0.014838429 1.08801956e-4 2.2968232e-4 1.2089027e-4 1.2089027e-4 1.2089027e-4 1.2089027e-4 1.2089027e-4 0.010309065 6.5999427 1.2290301 
700 2 10 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 68 96 4 600000 0 0 23 216 1 0 0.9203698 0.07963013 1.0 0.99999994 0.007606655 7.0385222 3.576338 3.8573047e-4 4.6397478e-4 0.0027816147 3.8573047e-4 0.0023125259 6.550337e-4 0.0070344037 0.004727167 0.0015573472 0.029954014 7.300336e-4 0.014545997 7.672805e-4 0.023518382 0.06324238 0.0023452954 0.0574896 0.007942783 0.119342595 0.120854884 0.01080046 0.23460852 0.007606655 0.1516505 0.011279951 0.022082433 0.06877279 0.0016834347 0.014382629 0.0016271325 0.0073552243 0.0016966597 3.8573047e-4 0.0018218532 4.2500865e-4 4.2500865e-4 0.0015090036 4.2500865e-4 4.2500865e-4 0.007606655 7.0385222 3.576338 
700 2 11 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 59 96 4 600000 0 0 23 240 2 0 0.98405135 0.015948707 1.0 1.0 0.010628929 6.5558596 2.7954416 1.6122738e-4 1.9642613e-4 0.0013329685 1.6122738e-4 0.0010941065 2.8400865e-4 0.003594426 0.0023499518 7.1693235e-4 0.02565918 3.1891014e-4 0.007325295 3.3633722e-4 0.010628929 0.023709401 4.8536033e-4 0.029350959 0.0011522028 0.016919952 0.041068982 5.5603916e-4 0.3940407 0.23519982 0.051223565 0.119691886 0.0048651723 0.007888374 0.011205183 0.0037787487 7.513338e-4 0.0017748079 7.857096e-4 1.6122738e-4 3.3633722e-4 1.7884081e-4 1.7884081e-4 1.7884081e-4 1.7884081e-4 1.7884081e-4 0.010628929 6.5558596 2.7954416 
700 2 12 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 59 96 4 600000 0 0 23 264 1 0 0.99012417 0.009875784 1.0 1.0 0.112195775 3.1559098 2.6272068 1.2205063e-4 1.4887768e-4 0.0024757457 1.2205063e-4 0.0022932547 2.1574953e-4 0.0070892526 0.0032564371 0.0020061855 0.07505485 2.4243606e-4 0.18340448 0.0017187041 0.112195775 0.44286978 0.006224006 0.086885445 8.749853e-4 0.02169045 0.009363791 4.2036315e-4 0.014091652 0.003652786 0.0059821657 0.0010081724 0.0037612305 0.006116662 2.0239413e-4 0.0029167722 5.741935e-4 0.0013635794 6.006303e-4 1.2205063e-4 2.5576813e-4 1.354708e-4 1.354708e-4 1.354708e-4 1.354708e-4 1.354708e-4 0.112195775 3.1559098 2.6272068 
700 2 13 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 60 96 4 600000 0 0 23 288 2 1 0.9741969 0.025803117 1.0 1.0 0.4183843 1.2570994 2.6087809 9.457833e-5 1.14998744e-4 0.0018278077 9.457833e-5 0.0016951641 1.6566152e-4 0.005146066 0.0023936045 0.0014861576 0.072979465 1.8580367e-4 0.16248395 0.0012763668 0.15575403 0.4183843 0.009116462 0.10389396 6.7000027e-4 0.024515064 0.00690186 3.2570187e-4 0.010318602 0.0027334755 0.004441228 7.7022787e-4 0.0027582443 0.0044506164 1.5556651e-4 0.0021477395 4.3400194e-4 0.0010164161 4.536556e-4 9.457833e-5 1.9585267e-4 1.0480175e-4 1.0480175e-4 1.0480175e-4 1.0480175e-4 1.0480175e-4 0.4183843 1.2570994 2.6087809 
