dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpintfref cpitch.order.stm.cpintfref cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpintfref cpitch.weight.stm.cpintfref cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.88 probability information.content entropy 
700 1 11 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 73 96 4 600000 0 1 23 240 4 1 0.7361559 0.263844 1.0 1.0 0.006067462 7.3646913 4.5856385 0.011375889 0.0056504826 0.021361038 0.006067462 0.08246216 0.071136765 0.011375889 0.07255266 0.007943628 0.018857136 0.00829757 0.008306176 0.009854944 0.0056504826 0.021361038 0.006067462 0.08246216 0.071136765 0.011375889 0.07255266 0.007943628 0.018857136 0.00829757 0.008306176 0.009854944 0.0056504826 0.021361038 0.006067462 0.08246216 0.071136765 0.011375889 0.07255266 0.007943628 0.018857136 0.00829757 0.008306176 0.009854944 0.0056504826 0.011375889 0.006067462 7.3646913 4.5856385 
700 1 12 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 68 96 4 600000 0 1 23 264 2 0 0.934802 0.065198034 1.0 1.0 1.9609001e-4 12.316196 3.7368388 0.0137470085 0.023280904 0.012868584 0.018145192 0.20643404 0.0036534118 0.0137470085 9.81127e-4 0.004150314 0.014219815 1.9609001e-4 0.0162855 0.0024463567 0.023280904 0.012868584 0.018145192 0.20643404 0.0036534118 0.0137470085 9.81127e-4 0.004150314 0.014219815 1.9609001e-4 0.0162855 0.0024463567 0.023280904 0.012868584 0.018145192 0.20643404 0.0036534118 0.0137470085 9.81127e-4 0.004150314 0.014219815 1.9609001e-4 0.0162855 0.0024463567 0.023280904 0.0137470085 1.9609001e-4 12.316196 3.7368388 
700 1 13 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 59 96 4 600000 0 1 23 288 1 0 0.7805343 0.21946564 1.0 1.0 0.022753097 5.457793 4.68971 0.01606471 0.022753097 0.015742978 0.0054105297 0.029245572 0.0058294525 0.01606471 0.008665771 0.011146753 0.06555395 0.01585849 0.10498634 0.013781546 0.022753097 0.015742978 0.0054105297 0.029245572 0.0058294525 0.01606471 0.008665771 0.011146753 0.06555395 0.01585849 0.10498634 0.013781546 0.022753097 0.015742978 0.0054105297 0.029245572 0.0058294525 0.01606471 0.008665771 0.011146753 0.06555395 0.01585849 0.10498634 0.013781546 0.022753097 0.01606471 0.022753097 5.457793 4.68971 
700 1 14 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 40 96 4 600000 0 1 23 312 2 0 0.7495253 0.25047466 1.0 1.0 0.019644294 5.669746 4.6534047 0.019644294 0.031658843 0.055554125 0.005946012 0.034271777 0.0012891575 0.019644294 0.0011033566 0.002513806 0.031302 0.050318647 0.074389994 0.0016921451 0.031658843 0.055554125 0.005946012 0.034271777 0.0012891575 0.019644294 0.0011033566 0.002513806 0.031302 0.050318647 0.074389994 0.0016921451 0.031658843 0.055554125 0.005946012 0.034271777 0.0012891575 0.019644294 0.0011033566 0.002513806 0.031302 0.050318647 0.074389994 0.0016921451 0.031658843 0.019644294 0.019644294 5.669746 4.6534047 
700 2 1 "Schoenberg_P" NA 0 0 1 0 NA 0 0 0 NA NA 70 96 4 600000 0 0 23 0 0 0 0.68791795 0.31208208 1.0 1.0 0.00881444 6.825915 4.9195623 0.029393846 0.019117787 0.05481048 0.0027418896 0.04628818 0.0109093385 0.029393846 0.034566022 0.006612176 0.056586206 0.007846811 0.029677665 0.00881444 0.019117787 0.05481048 0.0027418896 0.04628818 0.0109093385 0.029393846 0.034566022 0.006612176 0.056586206 0.007846811 0.029677665 0.00881444 0.019117787 0.05481048 0.0027418896 0.04628818 0.0109093385 0.029393846 0.034566022 0.006612176 0.056586206 0.007846811 0.029677665 0.00881444 0.019117787 0.029393846 0.00881444 6.825915 4.9195623 
700 2 2 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 64 96 4 600000 0 0 23 24 1 0 0.6169392 0.38306078 1.0 1.0 0.005306728 7.557962 4.6262946 0.005306728 0.0053360797 0.05227829 0.0023963186 0.012081864 0.021498403 0.005306728 0.016743226 0.0014677623 0.03796131 0.052179504 0.031279024 0.089488246 0.0053360797 0.05227829 0.0023963186 0.012081864 0.021498403 0.005306728 0.016743226 0.0014677623 0.03796131 0.052179504 0.031279024 0.089488246 0.0053360797 0.05227829 0.0023963186 0.012081864 0.021498403 0.005306728 0.016743226 0.0014677623 0.03796131 0.052179504 0.031279024 0.089488246 0.0053360797 0.005306728 0.005306728 7.557962 4.6262946 
700 2 3 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 66 96 4 600000 0 0 23 48 1 0 0.74472857 0.25527146 1.0 1.0 0.008129153 6.942679 4.511642 0.050977215 0.0026076226 0.042600617 0.002035141 0.07767682 0.0023463266 0.050977215 0.049289152 0.008129153 0.046615306 0.0017906553 0.012138164 0.0022731707 0.0026076226 0.042600617 0.002035141 0.07767682 0.0023463266 0.050977215 0.049289152 0.008129153 0.046615306 0.0017906553 0.012138164 0.0022731707 0.0026076226 0.042600617 0.002035141 0.07767682 0.0023463266 0.050977215 0.049289152 0.008129153 0.046615306 0.0017906553 0.012138164 0.0022731707 0.0026076226 0.050977215 0.008129153 6.942679 4.511642 
700 2 4 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 63 96 4 600000 0 0 23 72 2 0 0.93040293 0.06959709 1.0 1.0 0.0013643941 9.517524 3.6969244 0.019055255 0.0023338562 0.010374746 5.660681e-4 0.013079243 0.0013643941 0.019055255 0.008996956 0.01648885 0.20671937 0.009199034 0.030865513 8.085765e-4 0.0023338562 0.010374746 5.660681e-4 0.013079243 0.0013643941 0.019055255 0.008996956 0.01648885 0.20671937 0.009199034 0.030865513 8.085765e-4 0.0023338562 0.010374746 5.660681e-4 0.013079243 0.0013643941 0.019055255 0.008996956 0.01648885 0.20671937 0.009199034 0.030865513 8.085765e-4 0.0023338562 0.019055255 0.0013643941 9.517524 3.6969244 
700 2 5 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 65 96 4 600000 0 0 23 96 2 0 0.7936262 0.20637387 1.0 1.0 0.03789591 4.721814 4.4407516 0.08890533 0.0012785271 0.019093232 0.0035355436 0.0543517 0.033669308 0.08890533 0.03789591 0.00217235 0.01622398 0.008109008 0.0020316644 0.006370366 0.0012785271 0.019093232 0.0035355436 0.0543517 0.033669308 0.08890533 0.03789591 0.00217235 0.01622398 0.008109008 0.0020316644 0.006370366 0.0012785271 0.019093232 0.0035355436 0.0543517 0.033669308 0.08890533 0.03789591 0.00217235 0.01622398 0.008109008 0.0020316644 0.006370366 0.0012785271 0.08890533 0.03789591 4.721814 4.4407516 
700 2 6 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 69 96 4 600000 0 0 23 120 2 0 0.88158876 0.118411265 0.99999994 1.0 0.0014860994 9.394254 4.069297 0.008367866 0.003258977 0.018570252 1.6534117e-4 0.021262009 0.07973363 0.008367866 0.04826495 2.5033043e-4 0.13257815 0.0042915633 0.0014860994 0.008439264 0.003258977 0.018570252 1.6534117e-4 0.021262009 0.07973363 0.008367866 0.04826495 2.5033043e-4 0.13257815 0.0042915633 0.0014860994 0.008439264 0.003258977 0.018570252 1.6534117e-4 0.021262009 0.07973363 0.008367866 0.04826495 2.5033043e-4 0.13257815 0.0042915633 0.0014860994 0.008439264 0.003258977 0.008367866 0.0014860994 9.394254 4.069297 
