dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpitch cpitch.order.stm.cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpitch cpitch.weight.stm.cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.88 probability information.content entropy 
700 1 11 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 73 96 4 600000 0 1 23 240 3 1 0.97969604 0.02030401 0.99999994 0.99999994 0.030426364 5.038534 2.379684 1.7053624e-5 1.8810468e-5 7.571189e-5 2.0563915e-5 1.0120875e-4 4.5728495e-5 2.6207571e-4 1.8537225e-4 2.1378399e-4 9.796058e-4 1.2572811e-4 8.6059695e-4 0.0013617455 8.01373e-4 0.0019852303 2.8697954e-4 0.0024312504 0.009722772 0.0026535827 0.012430175 0.0020209614 0.0135661345 0.0059627937 0.0059332447 0.029262772 0.007033789 0.068419054 0.030426364 0.19698358 0.5337615 0.018548574 0.04832862 0.0018846996 0.0027235516 4.6882758e-4 3.449731e-5 2.4061765e-5 1.9687599e-5 1.7932492e-5 0.030426364 5.038534 2.379684 
700 1 12 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 68 96 4 600000 0 1 23 264 3 0 0.9694152 0.030584823 0.99999994 0.99999994 0.0072185635 7.114073 3.063848 2.1957387e-5 2.4194514e-5 9.597011e-5 2.6425116e-5 1.2789904e-4 5.827153e-5 3.278989e-4 2.3277481e-4 2.6805044e-4 0.001208803 1.5852325e-4 0.0010633941 6.0822035e-4 9.909553e-4 0.0024316213 3.5871568e-4 0.0035868527 0.0022220002 0.0075937896 0.0031776978 0.0059336596 0.00660728 0.0072185635 0.08601637 0.032061853 0.27031466 0.110145636 0.15241686 0.20411865 0.020843143 0.04800887 0.0026450106 0.028027315 2.3381463e-4 3.8598988e-5 7.065168e-4 3.0869025e-5 2.5310592e-5 2.3076806e-5 0.0072185635 7.114073 3.063848 
700 1 13 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 59 96 4 600000 0 1 23 288 3 0 0.98938996 0.010609996 1.0 1.0 0.050084595 4.3194895 2.6294487 2.3937107e-5 2.6428723e-5 1.07851585e-4 2.8917815e-5 1.4458658e-4 6.481599e-5 3.7794237e-4 2.6641303e-4 3.076796e-4 0.0017703143 5.2476145e-4 0.0012557642 6.88985e-4 0.050084595 0.0029208632 4.1422833e-4 0.0052612782 0.0031626252 0.022877201 0.026043821 0.03988142 0.06661685 0.5132643 0.12635063 0.024506826 0.07665453 0.011412454 0.009094927 0.0052717673 0.0012934644 0.0054274797 0.0017941132 2.615538e-4 2.6762768e-4 0.0014135946 4.87606e-5 3.3889304e-5 2.767357e-5 2.5183244e-5 0.050084595 4.3194895 2.6294487 
700 1 14 "Dallapiccola_quartina_1" NA 0 0 1 0 NA 0 24 1 NA NA 40 96 4 600000 0 1 23 312 3 0 0.99055856 0.0094414195 1.0 1.0 1.1829672e-5 16.36723 2.5963798 1.1829672e-5 1.3062544e-5 5.118679e-4 1.4294307e-5 5.2971434e-4 3.2069536e-5 0.002446896 0.0010424723 0.001062563 0.023729015 0.0045869253 0.10457325 0.0012589244 0.42191783 0.14252433 0.028067196 0.033968978 0.0010163548 0.015396247 0.002805647 0.001735037 0.0067494693 0.0033406501 0.19012806 0.0016289104 0.0027914862 0.0028132834 8.0239883e-4 0.0024470107 4.695503e-4 8.582948e-4 3.7607024e-4 1.2962437e-4 1.3263813e-4 2.105285e-5 2.411759e-5 1.6754879e-5 1.3678558e-5 1.2446253e-5 1.1829672e-5 16.36723 2.5963798 
700 2 1 "Schoenberg_P" NA 0 0 1 0 NA 0 0 0 NA NA 70 96 4 600000 0 0 23 0 0 0 0.8015901 0.1984099 1.0 1.0 0.051185716 4.288115 4.5536823 0.0017179451 0.0017522885 0.0037805438 0.0018204832 0.0046088784 0.0027519322 0.009302125 0.0071515003 0.007962817 0.02636877 0.0053757406 0.023761783 0.014633873 0.022422591 0.04666207 0.009953832 0.055014648 0.021892393 0.051408507 0.05813158 0.029306384 0.086069755 0.023112686 0.09789663 0.051185716 0.06859298 0.07873868 0.02877633 0.07037034 0.01881105 0.030646628 0.0157977 0.0070545855 0.0071756793 0.002185175 0.0023459278 0.0019550256 0.0017864667 0.0017179451 0.051185716 4.288115 4.5536823 
700 2 2 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 64 96 4 600000 0 0 23 24 1 0 0.8876459 0.112354174 1.0 1.0 0.010063074 6.634785 3.365077 1.3387676e-4 1.3684352e-4 3.2064e-4 1.4275285e-4 3.992958e-4 2.2557811e-4 8.69005e-4 6.495001e-4 7.3157495e-4 0.0027549171 4.734928e-4 0.0024549575 0.0065775085 0.0027526142 0.0067986036 0.0019074915 0.019137865 0.015827732 0.010063074 0.036770992 0.0030967458 0.09176967 0.05026477 0.20302063 0.23598772 0.017509127 0.16540805 0.0063730343 0.052731577 0.03705452 0.0036865987 0.015665023 6.397605e-4 0.004725621 0.0012459655 1.8903095e-4 0.0012302725 1.3980214e-4 1.3387676e-4 0.010063074 6.634785 3.365077 
700 2 3 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 66 96 4 600000 0 0 23 48 2 0 0.9892031 0.010796881 0.99999994 0.99999994 0.0255234 5.2920356 2.3426688 1.7992284e-5 1.8437177e-5 1.4627898e-4 1.9326611e-5 6.080996e-5 3.2181255e-5 1.4465794e-4 1.0457615e-4 2.1743657e-4 0.0019627863 3.669904e-4 0.0025676806 2.5303147e-4 0.0024413108 0.014898356 0.0036965623 0.0675091 0.0029996096 0.052031983 0.16646379 0.0255234 0.544806 0.0041653877 0.01802814 0.00122083 0.0061565563 0.0043920767 0.0043003727 0.0042276657 0.06761241 0.003019615 2.7809152e-4 1.02830054e-4 1.0501263e-4 2.421102e-5 2.6427502e-5 2.1104159e-5 1.8881952e-5 1.7992284e-5 0.0255234 5.2920356 2.3426688 
700 2 4 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 63 96 4 600000 0 0 23 72 2 0 0.9169081 0.0830919 1.0 1.0 0.025136488 5.314073 3.2869172 8.772641e-5 8.973526e-5 2.162452e-4 9.374086e-5 2.7124662e-4 1.5038047e-4 6.056547e-4 4.483466e-4 5.069873e-4 0.0019944815 3.234618e-4 0.0053673675 0.0010169746 0.011312301 0.0038314539 0.0039222804 0.075719014 0.025136488 0.22461344 0.008049118 0.14490992 0.19963068 0.10864014 0.09123171 0.006832859 0.030723253 0.009156377 0.013295658 0.019280149 0.0013553528 0.0060860827 0.0021225037 0.0020067587 4.500808e-4 1.15513896e-4 1.2528436e-4 1.0170644e-4 9.174005e-5 8.772641e-5 0.025136488 5.314073 3.2869172 
700 2 5 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 65 96 4 600000 0 0 23 96 3 0 0.99758434 0.002415637 1.0 0.99999994 0.018892184 5.7260666 1.9560715 1.4909605e-5 1.5281432e-5 3.9788418e-5 1.6025018e-5 5.0913626e-5 2.6799167e-5 1.22008496e-4 8.7960296e-5 1.00546495e-4 6.902461e-4 6.166236e-5 3.9198776e-4 0.0055648237 0.034994647 0.008073256 0.013240643 0.016514502 0.038804885 0.63229877 0.018892184 0.18380207 0.01286136 0.014210704 0.0026477487 0.0055436837 0.0017097985 0.0039289123 6.194857e-4 0.0015138063 0.0017555616 7.819639e-4 3.5806303e-4 8.647928e-5 8.833054e-5 2.0113363e-5 2.1971004e-5 1.7511953e-5 1.5653235e-5 1.4909605e-5 0.018892184 5.7260666 1.9560715 
700 2 6 "Schoenberg_P" NA 0 0 1 0 NA 0 24 1 NA NA 69 96 4 600000 0 0 23 120 2 0 0.96850646 0.03149355 1.0 0.99999994 0.029845605 5.066338 2.9540348 5.398776e-5 5.529444e-5 1.4001073e-4 5.7904806e-5 1.7787615e-4 9.539563e-5 4.155378e-4 3.0244692e-4 3.4437887e-4 0.0017080012 2.1422938e-4 0.0025072081 0.018503113 0.0014491348 0.057136826 6.1995396e-4 0.050326355 0.13269149 0.037671573 0.19180064 0.0078034927 0.36956176 0.01331884 0.029845605 0.04674531 0.004723762 0.0130407885 0.0018701523 0.009684232 0.0026798812 0.0018360437 0.0016929175 2.9750174e-4 3.0368278e-4 7.219789e-5 7.866319e-5 6.311426e-5 5.6600114e-5 5.398776e-5 0.029845605 5.066338 2.9540348 
