dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpintfref cpitch.order.stm.cpintfref cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpintfref cpitch.weight.stm.cpintfref cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.51 cpitch.53 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 11 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 53 96 4 600000 0 0 23 240 1 0 0.51365066 0.48634937 1.0 1.0 0.015165499 6.043063 5.2096367 0.020967279 0.025140168 0.015165499 0.0375291 0.030882558 0.030526355 0.024706177 0.032906044 0.023066241 0.023066241 0.027167277 0.025140168 0.020967279 0.015165499 0.030166171 0.0375291 0.030882558 0.030526355 0.024706177 0.032906044 0.023066241 0.023066241 0.027167277 0.025140168 0.020967279 0.015165499 0.030166171 0.0375291 0.030882558 0.030526355 0.024706177 0.032906044 0.023066241 0.023066241 0.027167277 0.020967279 0.015165499 0.030166171 0.015165499 6.043063 5.2096367 
701 1 12 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 61 96 4 600000 0 0 23 264 1 0 0.5068692 0.4931308 1.0 1.0 0.024313295 5.3621106 5.230303 0.021122644 0.028163524 0.02053777 0.02570864 0.028545663 0.030780686 0.024854112 0.030780686 0.021678308 0.024313295 0.032535277 0.028163524 0.021122644 0.02053777 0.030425895 0.02570864 0.028545663 0.030780686 0.024854112 0.030780686 0.021678308 0.024313295 0.032535277 0.028163524 0.021122644 0.02053777 0.030425895 0.02570864 0.028545663 0.030780686 0.024854112 0.030780686 0.021678308 0.024313295 0.032535277 0.021122644 0.02053777 0.030425895 0.024313295 5.3621106 5.230303 
701 1 13 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 72 96 4 600000 0 0 23 288 2 0 0.50247115 0.49752885 1.0 1.0 0.024866544 5.32965 5.2406607 0.022632608 0.024768712 0.023931922 0.027974395 0.027974395 0.03017681 0.024350358 0.024768712 0.024866544 0.027229056 0.03190923 0.024768712 0.022632608 0.023931922 0.027229056 0.027974395 0.027974395 0.03017681 0.024350358 0.024768712 0.024866544 0.027229056 0.03190923 0.024768712 0.022632608 0.023931922 0.027229056 0.027974395 0.027974395 0.03017681 0.024350358 0.024768712 0.024866544 0.027229056 0.03190923 0.022632608 0.023931922 0.027229056 0.024866544 5.32965 5.2406607 
701 2 1 "Schoenberg_I" NA 0 0 1 0 NA 0 0 0 NA NA 79 96 4 600000 0 -1 23 0 0 0 0.5002538 0.49974617 1.0 1.0 0.027076166 5.206833 5.2383356 0.021046188 0.027573269 0.020679954 0.027076166 0.028061582 0.028061582 0.027076166 0.027573269 0.028541546 0.028541546 0.028061582 0.027573269 0.021046188 0.020679954 0.027076166 0.027076166 0.028061582 0.028061582 0.027076166 0.027573269 0.028541546 0.028541546 0.028061582 0.027573269 0.021046188 0.020679954 0.027076166 0.027076166 0.028061582 0.028061582 0.027076166 0.027573269 0.028541546 0.028541546 0.028061582 0.021046188 0.020679954 0.027076166 0.027076166 5.206833 5.2383356 
701 2 2 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 85 96 4 600000 0 -1 23 24 1 0 0.34313962 0.65686035 1.0 1.0 0.020392075 5.6158476 5.0503693 0.021813165 0.022861043 0.014936235 0.08207436 0.02015623 0.023047002 0.025061892 0.019914981 0.020392075 0.020392075 0.02537254 0.022861043 0.021813165 0.014936235 0.025061892 0.08207436 0.02015623 0.023047002 0.025061892 0.019914981 0.020392075 0.020392075 0.02537254 0.022861043 0.021813165 0.014936235 0.025061892 0.08207436 0.02015623 0.023047002 0.025061892 0.019914981 0.020392075 0.020392075 0.02537254 0.021813165 0.014936235 0.025061892 0.020392075 5.6158476 5.0503693 
701 2 3 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 -1 23 48 1 0 0.3667997 0.6332002 1.0 1.0 0.021146018 5.5634704 5.081383 0.017499438 0.020021075 0.015859514 0.05608463 0.020280441 0.021382388 0.020904997 0.021146018 0.02521298 0.06052303 0.022394141 0.020021075 0.017499438 0.015859514 0.020904997 0.05608463 0.020280441 0.021382388 0.020904997 0.021146018 0.02521298 0.06052303 0.022394141 0.020021075 0.017499438 0.015859514 0.020904997 0.05608463 0.020280441 0.021382388 0.020904997 0.021146018 0.02521298 0.06052303 0.022394141 0.017499438 0.015859514 0.020904997 0.021146018 5.5634704 5.081383 
701 2 4 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 86 96 4 600000 0 -1 23 72 2 0 0.52991885 0.47008112 0.99999994 0.99999994 0.018600846 5.748488 5.1277585 0.015644286 0.020549968 0.013693612 0.037031163 0.02661041 0.020859046 0.024294158 0.03758812 0.018938031 0.038680643 0.018600846 0.020549968 0.015644286 0.013693612 0.051063776 0.037031163 0.02661041 0.020859046 0.024294158 0.03758812 0.018938031 0.038680643 0.018600846 0.020549968 0.015644286 0.013693612 0.051063776 0.037031163 0.02661041 0.020859046 0.024294158 0.03758812 0.018938031 0.038680643 0.018600846 0.015644286 0.013693612 0.051063776 0.018600846 5.748488 5.1277585 
701 2 5 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 84 96 4 600000 0 -1 23 96 1 0 0.436136 0.56386405 1.0 1.0 0.023543686 5.408516 5.1506248 0.014722152 0.02307082 0.017303117 0.03807725 0.019629534 0.019629534 0.02282962 0.038547963 0.023543686 0.045253564 0.039011367 0.02307082 0.014722152 0.017303117 0.021039657 0.03807725 0.019629534 0.019629534 0.02282962 0.038547963 0.023543686 0.045253564 0.039011367 0.02307082 0.014722152 0.017303117 0.021039657 0.03807725 0.019629534 0.019629534 0.02282962 0.038547963 0.023543686 0.045253564 0.039011367 0.014722152 0.017303117 0.021039657 0.023543686 5.408516 5.1506248 
701 2 6 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 80 96 4 600000 0 -1 23 120 2 0 0.53593487 0.46406516 1.0 1.0 0.036196727 4.787997 5.1629047 0.013723945 0.040832505 0.013468253 0.026608188 0.036196727 0.024326557 0.019857032 0.030343689 0.03413004 0.03413004 0.030795317 0.040832505 0.013723945 0.013468253 0.019857032 0.026608188 0.036196727 0.024326557 0.019857032 0.030343689 0.03413004 0.03413004 0.030795317 0.040832505 0.013723945 0.013468253 0.019857032 0.026608188 0.036196727 0.024326557 0.019857032 0.030343689 0.03413004 0.03413004 0.030795317 0.013723945 0.013468253 0.019857032 0.036196727 4.787997 5.1629047 
701 2 7 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 -1 23 144 2 0 0.7149211 0.2850789 1.0 1.0 0.014954674 6.06326 4.9317536 0.011500947 0.014954674 0.014951051 0.024290014 0.025114221 0.09056216 0.019593077 0.044716097 0.025522295 0.019597307 0.019143246 0.014954674 0.011500947 0.014951051 0.014570863 0.024290014 0.025114221 0.09056216 0.019593077 0.044716097 0.025522295 0.019597307 0.019143246 0.014954674 0.011500947 0.014951051 0.014570863 0.024290014 0.025114221 0.09056216 0.019593077 0.044716097 0.025522295 0.019597307 0.019143246 0.011500947 0.014951051 0.014570863 0.014954674 6.06326 4.9317536 
