dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpitch cpitch.order.stm.cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpitch cpitch.weight.stm.cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.51 cpitch.53 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 11 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 53 96 4 600000 0 0 23 240 1 0 0.5491642 0.45083582 1.0 0.99999994 0.018081635 5.789331 5.1465125 0.018612009 0.0347715 0.018081635 0.036686815 0.03573969 0.037614282 0.03573969 0.022924567 0.020620242 0.020620242 0.041996446 0.021566214 0.02202663 0.02202663 0.022924567 0.024219817 0.023794506 0.022479277 0.023794506 0.020620242 0.07759819 0.022479277 0.020620242 0.023362862 0.039415117 0.020620242 0.020133654 0.020133654 0.020133654 0.020620242 0.019637214 0.037614282 0.018612009 0.018612009 0.018612009 0.019637214 0.018612009 0.036686815 0.018081635 5.789331 5.1465125 
701 1 12 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 61 96 4 600000 0 0 23 264 0 0 0.4027147 0.5972853 1.0 1.0 0.020165887 5.6319394 5.1541758 0.019388342 0.04191978 0.04191978 0.042772602 0.042349372 0.043189704 0.042349372 0.021079298 0.020165887 0.020165887 0.04519103 0.020538492 0.020721091 0.020721091 0.021079298 0.021600273 0.021428699 0.020901332 0.021428699 0.020165887 0.021255063 0.020901332 0.020165887 0.021255063 0.044006463 0.020165887 0.019975696 0.019975696 0.019975696 0.020165887 0.019782783 0.043189704 0.019388342 0.019388342 0.019388342 0.019782783 0.019388342 0.042772602 0.020165887 5.6319394 5.1541758 
701 1 13 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 72 96 4 600000 0 0 23 288 1 0 0.433275 0.5667251 1.0 1.0 0.020855766 5.58341 5.1691365 0.01889187 0.03737691 0.03737691 0.038195644 0.037789173 0.038596526 0.037789173 0.020670274 0.019708224 0.03938237 0.053230163 0.020100279 0.020292606 0.020292606 0.020670274 0.027426805 0.021039125 0.026904773 0.021039125 0.019708224 0.020855766 0.02048258 0.026369145 0.020855766 0.03938237 0.026369145 0.019508315 0.019508315 0.019508315 0.019708224 0.019305693 0.038596526 0.01889187 0.01889187 0.01889187 0.019305693 0.01889187 0.038195644 0.020855766 5.58341 5.1691365 
701 2 1 "Schoenberg_I" NA 0 0 1 0 NA 0 0 0 NA NA 79 96 4 600000 0 -1 23 0 0 0 0.5251633 0.47483668 1.0 1.0 0.023989113 5.3814764 5.226856 0.021279138 0.021279138 0.021279138 0.023989113 0.022670774 0.02524497 0.022670774 0.031838026 0.026446715 0.02760099 0.030828284 0.028713183 0.029787716 0.029787716 0.031838026 0.0347072 0.03377533 0.030828284 0.03377533 0.026446715 0.03377533 0.030828284 0.026446715 0.031838026 0.02760099 0.026446715 0.02524497 0.023989113 0.023989113 0.02524497 0.022670774 0.023989113 0.019799843 0.019799843 0.019799843 0.022670774 0.019799843 0.021279138 0.023989113 5.3814764 5.226856 
701 2 2 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 85 96 4 600000 0 -1 23 24 1 0 0.35737798 0.642622 1.0 1.0 0.015727477 5.990569 4.652125 0.016517855 0.016517855 0.016517855 0.017921776 0.017245509 0.018555025 0.017245509 0.021728873 0.019151628 0.019716559 0.021257507 0.020253792 0.038643803 0.020766553 0.021728873 0.023042958 0.022620106 0.021257507 0.039290626 0.019151628 0.022620106 0.021257507 0.019151628 0.021728873 0.019716559 0.019151628 0.018555025 0.26036948 0.017921776 0.018555025 0.017245509 0.017921776 0.015727477 0.015727477 0.015727477 0.017245509 0.015727477 0.016517855 0.015727477 5.990569 4.652125 
701 2 3 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 -1 23 48 0 0 0.23246849 0.76753145 1.0 1.0 0.01931825 5.693892 4.8587523 0.018498225 0.018498225 0.018498225 0.01931825 0.018922897 0.019688558 0.018922897 0.021535268 0.020037206 0.020366902 0.021262625 0.020679861 0.020977924 0.020977924 0.021535268 0.02229127 0.022048693 0.021262625 0.022048693 0.020037206 0.022048693 0.021262625 0.020037206 0.021535268 0.020366902 0.020037206 0.019688558 0.14376059 0.01931825 0.019688558 0.018922897 0.01931825 0.018038685 0.1350691 0.018038685 0.018922897 0.018038685 0.018498225 0.01931825 5.693892 4.8587523 
701 2 4 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 86 96 4 600000 0 -1 23 72 1 0 0.39118373 0.60881627 1.0 1.0 0.0169397 5.883448 5.050209 0.017672174 0.017672174 0.017672174 0.019010296 0.01836021 0.019627504 0.01836021 0.022823637 0.020215893 0.020778771 0.041679982 0.021318866 0.021838466 0.021838466 0.022823637 0.024187988 0.023746714 0.022339504 0.023746714 0.020215893 0.042233787 0.022339504 0.040923268 0.022823637 0.020778771 0.020215893 0.019627504 0.079740934 0.019010296 0.019627504 0.01836021 0.079740934 0.0169397 0.071797 0.0169397 0.01836021 0.0169397 0.017672174 0.0169397 5.883448 5.050209 
701 2 5 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 84 96 4 600000 0 -1 23 96 0 0 0.2906949 0.7093051 1.0 1.0 0.017768336 5.8145475 4.9857597 0.018186616 0.018186616 0.018186616 0.018959112 0.018582657 0.01931816 0.018582657 0.021191888 0.019661628 0.019991048 0.020907238 0.020307729 0.020612802 0.020612802 0.021191888 0.021994205 0.021734748 0.020907238 0.021734748 0.019661628 0.021734748 0.020907238 0.019661628 0.021191888 0.019991048 0.019661628 0.01931816 0.08443686 0.018959112 0.01931816 0.018582657 0.08443686 0.017768336 0.07949104 0.07949104 0.018582657 0.017768336 0.018186616 0.017768336 5.8145475 4.9857597 
701 2 6 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 80 96 4 600000 0 -1 23 120 0 0 0.31355906 0.686441 1.0 0.99999994 0.019099245 5.7103405 5.030074 0.018523373 0.018523373 0.018523373 0.019099245 0.018816134 0.019373458 0.018816134 0.020864014 0.019639427 0.019897738 0.020631645 0.020148907 0.020393403 0.020393403 0.020864014 0.021529151 0.021312468 0.020631645 0.021312468 0.019639427 0.021312468 0.020631645 0.019639427 0.020864014 0.019897738 0.019639427 0.019373458 0.07124787 0.019099245 0.019373458 0.018816134 0.07124787 0.0681216 0.0681216 0.0681216 0.018816134 0.018220121 0.018523373 0.019099245 5.7103405 5.030074 
701 2 7 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 -1 23 144 1 0 0.5087511 0.49124894 1.0 1.0 0.022272442 5.4885964 5.123797 0.01836202 0.01836202 0.01836202 0.019297162 0.018835196 0.019748688 0.018835196 0.022272442 0.020190459 0.020623088 0.021871367 0.021047125 0.021463066 0.021463066 0.022272442 0.068114534 0.02305436 0.021871367 0.02305436 0.020190459 0.02305436 0.021871367 0.020190459 0.022272442 0.020623088 0.020190459 0.019748688 0.046493802 0.046493802 0.019748688 0.018835196 0.046493802 0.043229204 0.043229204 0.043229204 0.048766974 0.017876765 0.01836202 0.022272442 5.4885964 5.123797 
