dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpintfref-cpitch cpitch.order.stm.cpintfref-cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpintfref-cpitch cpitch.weight.stm.cpintfref-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.51 cpitch.53 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 11 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 53 96 4 600000 0 0 23 240 1 0 0.7752793 0.22472069 1.0 0.99999994 0.011781948 6.4072785 4.7661934 0.011781948 0.018755136 0.011781948 0.023790097 0.021315843 0.026191758 0.018755136 0.0273901 0.020894092 0.020894092 0.037401497 0.02420552 0.02420552 0.02420552 0.02581206 0.028942207 0.028942207 0.02420552 0.030470535 0.017422114 0.22270754 0.02420552 0.017422114 0.02420552 0.030816086 0.019180914 0.019180914 0.017422114 0.017422114 0.019180914 0.015610154 0.023790097 0.011781948 0.011781948 0.011781948 0.015610154 0.011781948 0.018755136 0.011781948 6.4072785 4.7661934 
701 1 12 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 61 96 4 600000 0 0 23 264 0 0 0.42578062 0.57421935 1.0 1.0 0.021473756 5.5412817 5.162068 0.016305625 0.036742963 0.036742963 0.041188885 0.039051306 0.04318642 0.036742963 0.024637317 0.021473756 0.021473756 0.05170582 0.02312855 0.02312855 0.02312855 0.023898995 0.02534694 0.02534694 0.02312855 0.026030736 0.0196261 0.023898995 0.02312855 0.0196261 0.02312855 0.04684638 0.020577906 0.020577906 0.0196261 0.0196261 0.020577906 0.018607564 0.041188885 0.016305625 0.016305625 0.016305625 0.018607564 0.016305625 0.036742963 0.021473756 5.5412817 5.162068 
701 1 13 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 72 96 4 600000 0 0 23 288 1 0 0.5546234 0.44537652 1.0 1.0 0.022943337 5.445781 5.1143765 0.013943427 0.026150843 0.026150843 0.03034607 0.028310945 0.032277014 0.026150843 0.023870906 0.019958252 0.035884984 0.0793564 0.02198462 0.02198462 0.02198462 0.022943337 0.04695268 0.024770388 0.045339268 0.025644373 0.01775107 0.022943337 0.02198462 0.043113362 0.02198462 0.035884984 0.043678366 0.018880583 0.01775107 0.01775107 0.018880583 0.016560616 0.03034607 0.013943427 0.013943427 0.013943427 0.016560616 0.013943427 0.026150843 0.022943337 5.445781 5.1143765 
701 2 1 "Schoenberg_I" NA 0 0 1 0 NA 0 0 0 NA NA 79 96 4 600000 0 -1 23 0 0 0 0.6061272 0.39387274 1.0 1.0 0.019212097 5.7018414 5.13632 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.03925014 0.03925014 0.03925014 0.05399192 0.03925014 0.03925014 0.03925014 0.05399192 0.03925014 0.03925014 0.03925014 0.03925014 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 0.019212097 5.7018414 5.13632 
701 2 2 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 85 96 4 600000 0 -1 23 24 0 0 0.26961872 0.7303813 1.0 1.0 0.018682491 5.7421694 4.7957516 0.018682491 0.018682491 0.018682491 0.018682491 0.018682491 0.018682491 0.018682491 0.018682491 0.018682491 0.018682491 0.018682491 0.018682491 0.025123239 0.025123239 0.025123239 0.028833024 0.025123239 0.025123239 0.025123239 0.028833024 0.025123239 0.025123239 0.025123239 0.025123239 0.018682491 0.018682491 0.018682491 0.224039 0.018682491 0.018682491 0.018682491 0.018682491 0.018682491 0.018682491 0.018682491 0.018682491 0.018682491 0.018682491 0.018682491 5.7421694 4.7957516 
701 2 3 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 -1 23 48 0 0 0.2795865 0.72041345 1.0 1.0 0.017364612 5.847706 4.791406 0.017364612 0.017364612 0.017364612 0.017364612 0.017364612 0.017364612 0.017364612 0.017364612 0.017364612 0.017364612 0.017364612 0.017364612 0.02312402 0.02312402 0.02312402 0.026558692 0.02312402 0.02312402 0.02312402 0.026558692 0.02312402 0.02312402 0.02312402 0.02312402 0.017364612 0.017364612 0.017364612 0.14944601 0.017364612 0.017364612 0.017364612 0.017364612 0.017364612 0.14944601 0.017364612 0.017364612 0.017364612 0.017364612 0.017364612 5.847706 4.791406 
701 2 4 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 86 96 4 600000 0 -1 23 72 0 0 0.30625007 0.69374996 1.0 1.0 0.016845731 5.8914733 4.8508215 0.016845731 0.016845731 0.016845731 0.016845731 0.016845731 0.016845731 0.016845731 0.016845731 0.016845731 0.016845731 0.016845731 0.016845731 0.022572286 0.022572286 0.022572286 0.026143279 0.022572286 0.022572286 0.022572286 0.026143279 0.022572286 0.022572286 0.022572286 0.022572286 0.016845731 0.016845731 0.016845731 0.11151301 0.016845731 0.016845731 0.016845731 0.11151301 0.016845731 0.11151301 0.016845731 0.016845731 0.016845731 0.016845731 0.016845731 5.8914733 4.8508215 
701 2 5 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 84 96 4 600000 0 -1 23 96 0 0 0.3315718 0.66842824 1.0 1.0 0.016625436 5.910464 4.909212 0.016625436 0.016625436 0.016625436 0.016625436 0.016625436 0.016625436 0.016625436 0.016625436 0.016625436 0.016625436 0.016625436 0.016625436 0.022339473 0.022339473 0.022339473 0.026051175 0.022339473 0.022339473 0.022339473 0.026051175 0.022339473 0.022339473 0.022339473 0.022339473 0.016625436 0.016625436 0.016625436 0.08968581 0.016625436 0.016625436 0.016625436 0.08968581 0.016625436 0.08968581 0.08968581 0.016625436 0.016625436 0.016625436 0.016625436 5.910464 4.909212 
701 2 6 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 80 96 4 600000 0 -1 23 120 0 0 0.35339633 0.64660376 1.0 0.99999994 0.016551964 5.916854 4.9590535 0.016551964 0.016551964 0.016551964 0.016551964 0.016551964 0.016551964 0.016551964 0.016551964 0.016551964 0.016551964 0.016551964 0.016551964 0.022196772 0.022196772 0.022196772 0.025998147 0.022196772 0.022196772 0.022196772 0.025998147 0.022196772 0.022196772 0.022196772 0.022196772 0.016551964 0.016551964 0.016551964 0.07568891 0.016551964 0.016551964 0.016551964 0.07568891 0.07568891 0.07568891 0.07568891 0.016551964 0.016551964 0.016551964 0.016551964 5.916854 4.9590535 
701 2 7 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 -1 23 144 0 0 0.37188193 0.6281181 1.0 1.0 0.022084301 5.500835 5.000827 0.016565656 0.016565656 0.016565656 0.016565656 0.016565656 0.016565656 0.016565656 0.016565656 0.016565656 0.016565656 0.016565656 0.016565656 0.022084301 0.022084301 0.022084301 0.025921363 0.022084301 0.022084301 0.022084301 0.025921363 0.022084301 0.022084301 0.022084301 0.022084301 0.016565656 0.016565656 0.016565656 0.06600019 0.06600019 0.016565656 0.016565656 0.06600019 0.06600019 0.06600019 0.06600019 0.016565656 0.016565656 0.016565656 0.022084301 5.500835 5.000827 
