dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint cpitch.order.stm.cpint cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint cpitch.weight.stm.cpint cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.51 cpitch.53 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 11 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 53 96 4 600000 0 0 23 240 1 1 0.7840419 0.2159582 1.0 1.0 0.04554717 4.456495 4.1159787 0.0049886256 0.13852625 0.04554717 0.023746409 0.15684815 0.028954476 0.026385915 0.18445292 0.01819894 0.012128488 0.07659265 0.0049886256 0.031461664 0.031461664 0.0049886256 0.036320195 0.0049886256 0.028954476 0.008766896 0.01819894 0.012128488 0.0049886256 0.0049886256 0.0049886256 0.0049886256 0.012128488 0.0049886256 0.0049886256 0.0049886256 0.014414648 0.0049886256 0.0049886256 0.0049886256 0.0049886256 0.0049886256 0.0049886256 0.0049886256 0.0049886256 0.04554717 4.456495 4.1159787 
701 1 12 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 61 96 4 600000 0 0 23 264 1 0 0.6888039 0.31119612 0.99999994 1.0 0.035072953 4.8334975 4.3857536 0.044422906 0.12804186 0.13950564 0.056703806 0.044422906 0.021408327 0.046309263 0.018207407 0.0061082616 0.035072953 0.035072953 0.0061082616 0.12129258 0.0061082616 0.0325597 0.044105016 0.021408327 0.014727254 0.0061082616 0.0061082616 0.0061082616 0.0061082616 0.046309263 0.0061082616 0.0061082616 0.0061082616 0.022156809 0.0061082616 0.0061082616 0.0061082616 0.0061082616 0.0061082616 0.0061082616 0.0061082616 0.0061082616 0.0061082616 0.0061082616 0.0061082616 0.035072953 4.8334975 4.3857536 
701 1 13 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 72 96 4 600000 0 0 23 288 1 0 0.7239443 0.27605566 1.0 1.0 0.032303613 4.952161 4.5270605 0.015555912 0.007251297 0.015575569 0.022402896 0.036983043 0.023511352 0.13101572 0.11927976 0.022402896 0.12520021 0.02653101 0.024500163 0.035939395 0.01795935 0.013042962 0.015575569 0.007251297 0.045928903 0.028504176 0.007251297 0.032303613 0.007251297 0.07636289 0.010305327 0.01795935 0.013042962 0.007251297 0.007251297 0.007251297 0.007251297 0.013042962 0.007251297 0.007251297 0.007251297 0.015555912 0.007251297 0.007251297 0.007251297 0.032303613 4.952161 4.5270605 
701 2 1 "Schoenberg_I" NA 0 0 1 0 NA 0 0 0 NA NA 79 96 4 600000 0 -1 23 0 0 0 0.5 0.5 1.0 1.0 0.02631578 5.247928 5.247927 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 0.02631578 5.247928 5.247927 
701 2 2 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 85 96 4 600000 0 -1 23 24 0 0 0.63045305 0.36954686 1.0 1.0 0.021559373 5.535541 5.0848255 0.013926784 0.013926784 0.013926784 0.013926784 0.013926784 0.013926784 0.017983247 0.017983247 0.017983247 0.017983247 0.013926784 0.013926784 0.021559373 0.017983247 0.04960619 0.013926784 0.04309617 0.013926784 0.045326747 0.024816088 0.024816088 0.030680342 0.03337501 0.021559373 0.05564882 0.038416576 0.027838983 0.04749474 0.038416576 0.03594766 0.04749474 0.027838983 0.021559373 0.021559373 0.013926784 0.038416576 0.013926784 0.04749474 0.021559373 5.535541 5.0848255 
701 2 3 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 -1 23 48 1 0 0.95210576 0.047894273 1.0 1.0 0.031059794 5.008808 3.612414 0.0047530555 0.0047530555 0.0047530555 0.0047530555 0.0047530555 0.0047530555 0.0047530555 0.0047530555 0.0047530555 0.0047530555 0.0047530555 0.0047530555 0.008197969 0.008197969 0.008197969 0.008197969 0.0047530555 0.0047530555 0.011569228 0.008197969 0.046794403 0.0047530555 0.037392866 0.0047530555 0.04053863 0.014891036 0.014891036 0.02143051 0.02466058 0.011569228 0.0561012 0.031059794 0.018175654 0.043672152 0.43679792 0.043672152 0.018175654 0.011569228 0.031059794 5.008808 3.612414 
701 2 4 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 86 96 4 600000 0 -1 23 72 1 0 0.49836272 0.5016372 1.0 1.0 0.05769477 4.1154156 4.749797 0.010918366 0.010918366 0.010918366 0.010918366 0.010918366 0.010918366 0.010918366 0.010918366 0.010918366 0.010918366 0.014205303 0.014205303 0.014205303 0.014205303 0.010918366 0.010918366 0.016859906 0.014205303 0.03447143 0.010918366 0.045328386 0.010918366 0.032002646 0.01914791 0.01914791 0.023048691 0.04155742 0.037405483 0.050456043 0.10753587 0.021188848 0.047100086 0.027889716 0.02637559 0.05769477 0.016859906 0.14112736 0.010918366 0.05769477 4.1154156 4.749797 
701 2 5 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 84 96 4 600000 0 -1 23 96 2 0 0.94661427 0.053385742 1.0 1.0 0.5037712 0.9891595 2.980333 0.0024478855 0.0024478855 0.0024478855 0.0024478855 0.0024478855 0.0024478855 0.0024478855 0.0024478855 0.0024478855 0.0024478855 0.0024478855 0.0024478855 0.0024478855 0.004398291 0.004398291 0.004398291 0.004398291 0.0024478855 0.0024478855 0.006299349 0.004398291 0.026015054 0.0024478855 0.06647575 0.0024478855 0.02252461 0.008168067 0.008168067 0.011838356 0.10388642 0.006299349 0.03120252 0.5037712 0.010012752 0.024273375 0.015444471 0.082002304 0.010012752 0.5037712 0.9891595 2.980333 
701 2 6 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 80 96 4 600000 0 -1 23 120 3 1 0.9495716 0.05042841 1.0 1.0 0.029070899 5.1042805 2.9574285 0.002374406 0.002374406 0.002374406 0.002374406 0.002374406 0.002374406 0.002374406 0.002374406 0.002374406 0.002374406 0.002374406 0.003920367 0.003920367 0.003920367 0.003920367 0.002374406 0.002374406 0.005433703 0.003920367 0.021228325 0.002374406 0.14780799 0.002374406 0.018425638 0.0069246725 0.0069246725 0.009858934 0.034537464 0.029070899 0.048018157 0.019390326 0.008398647 0.042653717 0.014177236 0.012746805 0.008398647 0.005433703 0.50535256 0.029070899 5.1042805 2.9574285 
701 2 7 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 -1 23 144 2 0 0.8416405 0.15835956 1.0 1.0 0.02284445 5.4520125 4.2222304 0.00711316 0.00711316 0.00711316 0.00711316 0.00711316 0.00711316 0.00711316 0.010006177 0.010006177 0.010006177 0.010006177 0.00711316 0.00711316 0.012747401 0.010006177 0.0387748 0.00711316 0.032135583 0.00711316 0.32271382 0.015381015 0.015381015 0.020416077 0.02284445 0.02137952 0.045205552 0.044668272 0.017931936 0.036587384 0.027564114 0.025225092 0.053896748 0.017931936 0.012747401 0.02137952 0.032135583 0.027564114 0.00711316 0.02284445 5.4520125 4.2222304 
