melody.id,note.id,melody.name,cpitch,information.content,entropy,Viewpoint,Time
7,3,"""Webern_qrt_V1_2""",74,8.544681,2.8973436,cpint,Before
7,4,"""Webern_qrt_V1_2""",61,12.731614,3.524935,cpint,Before
7,5,"""Webern_qrt_V1_2""",69,8.030023,3.529463,cpint,Before
7,6,"""Webern_qrt_V1_2""",82,13.583899,3.1650586,cpint,Before
7,7,"""Webern_qrt_V1_2""",67,15.567846,2.8334339,cpint,Before
7,8,"""Webern_qrt_V1_2""",80,10.531609,3.6096885,cpint,Before
7,9,"""Webern_qrt_V1_2""",88,6.984557,3.4124463,cpint,Before
7,10,"""Webern_qrt_V1_2""",75,11.840728,1.3835769,cpint,Before
7,11,"""Webern_qrt_V1_2""",66,6.0885587,3.4632485,cpint,Before
7,12,"""Webern_qrt_V1_2""",77,4.479262,4.584375,cpint,Before
8,1,"""Webern_qrt_V2_1""",68,5.2854023,5.285403,cpint,Before
8,2,"""Webern_qrt_V2_1""",55,11.804968,3.4877605,cpint,Before
8,3,"""Webern_qrt_V2_1""",70,14.059191,3.3568814,cpint,Before
8,4,"""Webern_qrt_V2_1""",73,5.432195,2.667466,cpint,Before
8,5,"""Webern_qrt_V2_1""",62,14.02753,3.37239,cpint,Before
8,6,"""Webern_qrt_V2_1""",71,3.2782845,3.520024,cpint,Before
8,7,"""Webern_qrt_V2_1""",60,16.057016,1.9736979,cpint,Before
8,8,"""Webern_qrt_V2_1""",75,10.949251,3.3860462,cpint,Before
8,9,"""Webern_qrt_V2_1""",66,8.678922,3.014316,cpint,Before
8,10,"""Webern_qrt_V2_1""",77,7.267682,3.8859944,cpint,Before
8,11,"""Webern_qrt_V2_1""",57,14.370294,3.4897554,cpint,Before
8,12,"""Webern_qrt_V2_1""",70,11.350952,3.6162727,cpint,Before
8,13,"""Webern_qrt_V2_1""",67,3.1110847,3.857131,cpint,Before
1,1,"""Dallapiccola_quartina_1""",58,5.2854023,5.285403,cpint-cpintfref,Before
1,2,"""Dallapiccola_quartina_1""",69,10.239354,2.8487089,cpint-cpintfref,Before
1,3,"""Dallapiccola_quartina_1""",77,12.378513,2.7555847,cpint-cpintfref,Before
1,4,"""Dallapiccola_quartina_1""",74,2.9928508,3.0742338,cpint-cpintfref,Before
1,5,"""Dallapiccola_quartina_1""",72,2.7498689,3.4838579,cpint-cpintfref,Before
1,6,"""Dallapiccola_quartina_1""",72,2.7872765,2.6090727,cpint-cpintfref,Before
1,7,"""Dallapiccola_quartina_1""",66,7.7131314,2.7403538,cpint-cpintfref,Before
1,8,"""Dallapiccola_quartina_1""",67,1.2260989,2.1495364,cpint-cpintfref,Before
1,9,"""Dallapiccola_quartina_1""",75,11.397452,2.2790537,cpint-cpintfref,Before
1,10,"""Dallapiccola_quartina_1""",75,2.816323,1.7653865,cpint-cpintfref,Before
1,11,"""Dallapiccola_quartina_1""",73,9.35348,2.3924277,cpint-cpintfref,Before
1,12,"""Dallapiccola_quartina_1""",68,10.495924,1.7103909,cpint-cpintfref,Before
1,13,"""Dallapiccola_quartina_1""",59,8.154208,3.076766,cpint-cpintfref,Before
1,14,"""Dallapiccola_quartina_1""",40,12.790322,2.6905725,cpint-cpintfref,Before
2,1,"""Schoenberg_P""",70,5.2854023,5.285403,cpint-cpintfref,Before
2,2,"""Schoenberg_P""",64,9.602223,3.1401346,cpint-cpintfref,Before
2,3,"""Schoenberg_P""",66,6.2055264,2.7102923,cpint-cpintfref,Before
2,4,"""Schoenberg_P""",63,9.500084,1.6580944,cpint-cpintfref,Before
2,5,"""Schoenberg_P""",65,3.1369286,2.4534779,cpint-cpintfref,Before
2,6,"""Schoenberg_P""",69,8.677137,2.3034816,cpint-cpintfref,Before
2,7,"""Schoenberg_P""",62,5.227174,2.4885015,cpint-cpintfref,Before
2,8,"""Schoenberg_P""",61,10.53157,2.3615303,cpint-cpintfref,Before
2,9,"""Schoenberg_P""",67,10.596507,1.3092705,cpint-cpintfref,Before
2,10,"""Schoenberg_P""",68,5.7050424,3.2749832,cpint-cpintfref,Before
2,11,"""Schoenberg_P""",59,9.166983,2.722411,cpint-cpintfref,Before
2,12,"""Schoenberg_P""",59,3.3645608,2.362573,cpint-cpintfref,Before
2,13,"""Schoenberg_P""",60,1.2892779,2.4499393,cpint-cpintfref,Before
3,1,"""Schoenberg_RI""",65,5.2854023,5.285403,cpint-cpintfref,Before
3,2,"""Schoenberg_RI""",66,8.057921,3.2523293,cpint-cpintfref,Before
3,3,"""Schoenberg_RI""",69,6.0419893,2.6677728,cpint-cpintfref,Before
3,4,"""Schoenberg_RI""",70,3.5312693,2.810647,cpint-cpintfref,Before
3,5,"""Schoenberg_RI""",64,7.190486,2.550099,cpint-cpintfref,Before
3,6,"""Schoenberg_RI""",75,13.554696,1.9665918,cpint-cpintfref,Before
3,7,"""Schoenberg_RI""",68,6.4185405,3.1266985,cpint-cpintfref,Before
3,8,"""Schoenberg_RI""",72,2.4788394,2.950806,cpint-cpintfref,Before
3,9,"""Schoenberg_RI""",74,4.078807,2.5188825,cpint-cpintfref,Before
3,10,"""Schoenberg_RI""",71,6.813129,2.5566914,cpint-cpintfref,Before
3,11,"""Schoenberg_RI""",71,5.7846584,0.67935205,cpint-cpintfref,Before
3,12,"""Schoenberg_RI""",73,7.449514,2.558998,cpint-cpintfref,Before
3,13,"""Schoenberg_RI""",67,9.193282,1.2630059,cpint-cpintfref,Before
3,14,"""Schoenberg_RI""",67,3.3039153,3.136926,cpint-cpintfref,Before
4,1,"""Webern_Lieder_2""",79,5.2854023,5.285403,cpint-cpintfref,Before
4,2,"""Webern_Lieder_2""",79,1.5986116,2.873893,cpint-cpintfref,Before
4,3,"""Webern_Lieder_2""",70,10.842914,2.8173914,cpint-cpintfref,Before
4,4,"""Webern_Lieder_2""",59,10.561287,2.6813953,cpint-cpintfref,Before
4,5,"""Webern_Lieder_2""",68,11.491593,2.3497043,cpint-cpintfref,Before
4,6,"""Webern_Lieder_2""",68,2.8395224,2.866128,cpint-cpintfref,Before
4,7,"""Webern_Lieder_2""",73,6.994488,2.8601043,cpint-cpintfref,Before
4,8,"""Webern_Lieder_2""",81,6.5844197,1.8424157,cpint-cpintfref,Before
4,9,"""Webern_Lieder_2""",72,9.263305,1.3831177,cpint-cpintfref,Before
4,10,"""Webern_Lieder_2""",63,11.893214,2.533717,cpint-cpintfref,Before
4,11,"""Webern_Lieder_2""",76,2.6703064,2.2807105,cpint-cpintfref,Before
4,12,"""Webern_Lieder_2""",62,13.82153,2.310144,cpint-cpintfref,Before
5,1,"""Webern_Lieder_3""",72,5.2854023,5.285403,cpint-cpintfref,Before
5,2,"""Webern_Lieder_3""",63,10.401632,3.1766908,cpint-cpintfref,Before
5,3,"""Webern_Lieder_3""",76,2.6703064,2.2807105,cpint-cpintfref,Before
5,4,"""Webern_Lieder_3""",73,11.122128,2.3162062,cpint-cpintfref,Before
5,5,"""Webern_Lieder_3""",78,9.4600935,2.6449192,cpint-cpintfref,Before
5,6,"""Webern_Lieder_3""",74,5.291103,2.0340466,cpint-cpintfref,Before
5,7,"""Webern_Lieder_3""",65,10.4930725,2.491114,cpint-cpintfref,Before
5,8,"""Webern_Lieder_3""",68,8.390244,2.2455487,cpint-cpintfref,Before
5,9,"""Webern_Lieder_3""",69,4.361409,2.7685404,cpint-cpintfref,Before
5,10,"""Webern_Lieder_3""",67,1.7473867,2.8405507,cpint-cpintfref,Before
5,11,"""Webern_Lieder_3""",70,8.635583,2.9402332,cpint-cpintfref,Before
6,1,"""Webern_Lieder_6""",78,5.2854023,5.285403,cpint-cpintfref,Before
6,2,"""Webern_Lieder_6""",75,8.372763,1.9831448,cpint-cpintfref,Before
6,3,"""Webern_Lieder_6""",64,11.267946,2.1336174,cpint-cpintfref,Before
6,4,"""Webern_Lieder_6""",67,2.8114102,2.7095962,cpint-cpintfref,Before
6,5,"""Webern_Lieder_6""",78,12.998302,3.1279988,cpint-cpintfref,Before
6,6,"""Webern_Lieder_6""",65,10.3469305,2.0070837,cpint-cpintfref,Before
6,7,"""Webern_Lieder_6""",62,3.1125712,2.649067,cpint-cpintfref,Before
6,8,"""Webern_Lieder_6""",76,11.880034,2.7651403,cpint-cpintfref,Before
6,9,"""Webern_Lieder_6""",63,12.643585,2.059033,cpint-cpintfref,Before
6,10,"""Webern_Lieder_6""",63,3.71065,2.4786608,cpint-cpintfref,Before
6,11,"""Webern_Lieder_6""",60,3.9243748,2.853709,cpint-cpintfref,Before
6,12,"""Webern_Lieder_6""",81,12.904014,3.4534585,cpint-cpintfref,Before
6,13,"""Webern_Lieder_6""",81,2.4228532,2.1309688,cpint-cpintfref,Before
6,14,"""Webern_Lieder_6""",73,12.804042,2.1509974,cpint-cpintfref,Before
6,15,"""Webern_Lieder_6""",68,8.154208,3.076766,cpint-cpintfref,Before
6,16,"""Webern_Lieder_6""",59,8.299715,2.865073,cpint-cpintfref,Before
7,1,"""Webern_qrt_V1_2""",72,5.2854023,5.285403,cpint-cpintfref,Before
7,2,"""Webern_qrt_V1_2""",83,10.179964,3.1767223,cpint-cpintfref,Before
7,3,"""Webern_qrt_V1_2""",74,7.842085,1.6757052,cpint-cpintfref,Before
7,4,"""Webern_qrt_V1_2""",61,12.945302,2.7907276,cpint-cpintfref,Before
7,5,"""Webern_qrt_V1_2""",69,5.2050943,3.1726449,cpint-cpintfref,Before
7,6,"""Webern_qrt_V1_2""",82,11.4826145,2.290115,cpint-cpintfref,Before
7,7,"""Webern_qrt_V1_2""",67,11.02229,2.0523148,cpint-cpintfref,Before
7,8,"""Webern_qrt_V1_2""",80,12.159732,3.268492,cpint-cpintfref,Before
7,9,"""Webern_qrt_V1_2""",88,8.473619,2.5443516,cpint-cpintfref,Before
7,10,"""Webern_qrt_V1_2""",75,10.394729,0.59763366,cpint-cpintfref,Before
7,11,"""Webern_qrt_V1_2""",66,9.298669,2.1937675,cpint-cpintfref,Before
7,12,"""Webern_qrt_V1_2""",77,2.0618863,2.4676769,cpint-cpintfref,Before
8,1,"""Webern_qrt_V2_1""",68,5.2854023,5.285403,cpint-cpintfref,Before
8,2,"""Webern_qrt_V2_1""",55,9.580124,2.8339245,cpint-cpintfref,Before
8,3,"""Webern_qrt_V2_1""",70,12.6191435,3.2077227,cpint-cpintfref,Before
8,4,"""Webern_qrt_V2_1""",73,9.600185,3.1403387,cpint-cpintfref,Before
8,5,"""Webern_qrt_V2_1""",62,8.154208,3.076766,cpint-cpintfref,Before
8,6,"""Webern_qrt_V2_1""",71,8.076671,2.761583,cpint-cpintfref,Before
8,7,"""Webern_qrt_V2_1""",60,10.310945,2.4005349,cpint-cpintfref,Before
8,8,"""Webern_qrt_V2_1""",75,12.372631,2.7713642,cpint-cpintfref,Before
8,9,"""Webern_qrt_V2_1""",66,8.3705845,2.8307385,cpint-cpintfref,Before
8,10,"""Webern_qrt_V2_1""",77,2.0618863,2.4676769,cpint-cpintfref,Before
8,11,"""Webern_qrt_V2_1""",57,12.645914,2.5364988,cpint-cpintfref,Before
8,12,"""Webern_qrt_V2_1""",70,10.774256,2.5914433,cpint-cpintfref,Before
8,13,"""Webern_qrt_V2_1""",67,3.9624898,2.6354468,cpint-cpintfref,Before
1,1,"""Dallapiccola_quartina_1""",58,6.53495,4.901085,cpintfref,Before
1,2,"""Dallapiccola_quartina_1""",69,3.6913362,4.5708017,cpintfref,Before
1,3,"""Dallapiccola_quartina_1""",77,8.40669,4.524055,cpintfref,Before
1,4,"""Dallapiccola_quartina_1""",74,4.941494,5.0204433999999996,cpintfref,Before
1,5,"""Dallapiccola_quartina_1""",72,4.830154,4.9746814,cpintfref,Before
1,6,"""Dallapiccola_quartina_1""",72,4.3632836,4.568731,cpintfref,Before
1,7,"""Dallapiccola_quartina_1""",66,7.055091,4.6697235,cpintfref,Before
1,8,"""Dallapiccola_quartina_1""",67,2.744383,4.0890727,cpintfref,Before
1,9,"""Dallapiccola_quartina_1""",75,9.826641,3.379098,cpintfref,Before
1,10,"""Dallapiccola_quartina_1""",75,3.9364338,4.540879,cpintfref,Before
1,11,"""Dallapiccola_quartina_1""",73,7.3646913,4.5856385,cpintfref,Before
