dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpitch cpitch.order.stm.cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpitch cpitch.weight.stm.cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 11 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 53 96 4 600000 0 0 23 240 2 0 0.9897253 0.010274719 1.0 1.0 0.14250791 2.8108861 2.6551282 3.534294e-5 3.6120193e-5 8.714536e-5 3.7674185e-5 0.0020102032 6.187902e-5 0.009610458 0.14250791 0.009567919 0.47166857 0.12394613 0.047569994 0.086897224 0.011948046 0.026210196 0.0040533007 0.0023165932 0.02511908 0.0058405055 0.0024398046 0.0010524145 0.003956983 7.8637846e-4 0.00463664 0.002087657 0.0029889566 0.005413447 0.0010268966 0.0030839616 6.115319e-4 0.0011269645 4.9216376e-4 1.8452012e-4 1.8910426e-4 4.8534894e-5 5.1633044e-5 4.2332285e-5 3.9847444e-5 3.534294e-5 3.534294e-5 3.534294e-5 3.6897276e-5 3.534294e-5 3.748038e-5 0.14250791 2.8108861 2.6551282 
701 1 12 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 61 96 4 600000 0 0 23 264 3 0 0.98056275 0.019437337 0.99999994 1.0 3.0850605e-4 11.662414 2.9480608 3.940232e-5 4.0260733e-5 9.634587e-5 4.1976476e-5 0.10909102 0.103619345 0.13447425 0.07012883 2.3329852e-4 0.38133833 0.082378514 0.029744016 0.027187765 8.2277996e-4 0.0064089624 3.0850605e-4 0.013719411 7.960939e-4 0.0022522735 0.007012277 0.0011369939 0.0064156884 8.5187244e-4 0.004940973 0.0022411789 0.003198115 0.0037873024 0.0011096774 0.0032988118 6.640078e-4 0.0012317922 5.354719e-4 2.0258894e-4 2.0757478e-4 5.3950702e-5 5.736167e-5 4.7115605e-5 4.492293e-5 3.940232e-5 3.940232e-5 3.940232e-5 4.1118787e-5 3.940232e-5 4.2278345e-5 3.0850605e-4 11.662414 2.9480608 
701 1 13 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 72 96 4 600000 0 0 23 288 1 0 0.92723924 0.07276082 1.0 1.0 0.02107294 5.5684648 3.6983876 2.810274e-4 2.8681342e-4 6.545457e-4 2.983582e-4 8.156629e-4 5.160724e-4 0.0018027734 0.0014801769 0.0069273403 0.009424994 0.0010801652 0.059901305 0.009161972 0.1649687 0.028246494 0.0762229 0.27717263 0.040556014 0.08244667 0.019672014 0.037696432 0.025703557 0.0077467845 0.034014903 0.0128310565 0.022720398 0.02107294 0.01167452 0.020879786 0.0040615206 0.007825275 0.005989044 0.0013218076 0.0013525487 3.7826903e-4 4.008459e-4 3.3278862e-4 3.4169471e-4 2.810274e-4 2.810274e-4 2.810274e-4 2.9259027e-4 2.810274e-4 3.2264236e-4 0.02107294 5.5684648 3.6983876 
701 2 1 "Schoenberg_I" NA 0 0 1 0 NA 0 0 0 NA NA 79 96 4 600000 0 -1 23 0 0 0 0.8463119 0.153688 0.99999994 1.0 0.0059258156 7.398771 4.4475927 4.1545922e-4 4.542069e-4 0.0025275415 5.2998797e-4 0.0033495303 0.001530095 0.0080334535 0.0059016957 0.006688746 0.025709316 0.004161746 0.022985645 0.013473374 0.021659095 0.047481563 0.008802637 0.05664772 0.02102862 0.052701816 0.06005382 0.028888606 0.09113994 0.02234311 0.1044589 0.052474745 0.07156384 0.082924694 0.028272567 0.073522136 0.017841062 0.030257134 0.014689074 0.005805036 0.0059258156 9.863615e-4 0.001118376 7.116822e-4 5.671341e-4 3.760427e-4 3.760427e-4 3.760427e-4 4.542069e-4 3.760427e-4 4.1545922e-4 0.0059258156 7.398771 4.4475927 
701 2 2 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 85 96 4 600000 0 -1 23 24 1 0 0.8009623 0.19903769 1.0 1.0 1.19147495e-4 13.034964 3.868877 1.3093502e-4 1.4246414e-4 7.2310574e-4 1.6486419e-4 9.4391877e-4 4.4967918e-4 0.0021602039 0.0016134139 0.0018163531 0.0064954967 0.0011592405 0.0058423094 0.0035239924 0.005522701 0.011608333 0.0023554687 0.013718912 0.005370435 0.017175302 0.014498366 0.0072532897 0.04320131 0.005687629 0.03193778 0.02514217 0.03609616 0.04501284 0.011993712 0.09703592 0.06631672 0.110038504 0.1291056 0.1073522 0.18018377 2.96783e-4 0.0067863315 2.1791414e-4 1.7577992e-4 1.19147495e-4 1.19147495e-4 1.19147495e-4 1.4246414e-4 1.19147495e-4 1.3093502e-4 1.19147495e-4 13.034964 3.868877 
701 2 3 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 -1 23 48 0 0 0.59255904 0.40744096 1.0 1.0 0.0021776103 8.843039 4.8166413 0.001818422 0.0019125334 0.005738784 0.0020918315 0.0069556385 0.0040937397 0.012731303 0.010278963 0.011210758 0.028651256 0.008075017 0.026494842 0.018248564 0.025417116 0.04399861 0.013566855 0.049781404 0.024898019 0.047329213 0.05185722 0.031083805 0.06943634 0.025975216 0.07639165 0.047186457 0.058626667 0.06499434 0.030618977 0.059744738 0.022197964 0.032105953 0.019381864 0.010162073 0.031439397 0.003071567 0.003331249 0.002499901 0.0021776103 0.0017208342 0.0055305916 0.0017208342 0.0019125334 0.0017208342 0.001818422 0.0021776103 8.843039 4.8166413 
701 2 4 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 86 96 4 600000 0 -1 23 72 1 0 0.82100415 0.17899579 1.0 1.0 3.292489e-4 11.568534 4.0638623 3.553996e-4 3.8113698e-4 0.0017469474 4.3152343e-4 0.0022803172 0.0010940124 0.005269213 0.0039173984 0.0044178637 0.01621159 0.002804054 0.014545955 0.00867722 0.013732646 0.029372578 0.005754333 0.11241131 0.013345594 0.03249748 0.036883086 0.0181493 0.05526886 0.014152191 0.06308455 0.032361753 0.043717586 0.12486346 0.017774351 0.12034366 0.011383276 0.16824163 0.009432688 0.0038558124 0.0061129387 7.3478726e-4 8.22239e-4 5.5238476e-4 7.442079e-4 3.292489e-4 5.5027206e-4 3.292489e-4 3.8113698e-4 3.292489e-4 3.553996e-4 3.292489e-4 11.568534 4.0638623 
701 2 5 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 84 96 4 600000 0 -1 23 96 0 0 0.6617983 0.33820173 1.0 1.0 0.0014854502 9.394884 4.7461505 0.0015548477 0.0016226963 0.0047853347 0.0017542441 0.005881968 0.0033573455 0.011389777 0.009000598 0.009900806 0.028008685 0.006914351 0.025672497 0.016963763 0.024513258 0.045173835 0.012217618 0.051843982 0.02395697 0.049003717 0.05426123 0.030669136 0.07515372 0.025112854 0.08360332 0.048838895 0.062221326 0.06980855 0.030158794 0.06354682 0.021086354 0.03179455 0.018136727 0.00888838 0.01918281 0.002513818 0.002724049 0.002063204 0.003984071 0.0014854502 0.003293385 0.003293385 0.0016226963 0.0014854502 0.0015548477 0.0014854502 9.394884 4.7461505 
701 2 6 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 80 96 4 600000 0 -1 23 120 0 0 0.6827586 0.3172414 1.0 1.0 0.002649436 8.560099 4.751128 0.0018360422 0.0018913702 0.0047129076 0.00199984 0.0057412377 0.0034009223 0.011043179 0.0087226145 0.009594025 0.027599014 0.006720418 0.02524256 0.01653232 0.024076013 0.045092158 0.011852537 0.05195601 0.023516899 0.049029466 0.054450855 0.030290836 0.07615135 0.024679152 0.084987186 0.0488598 0.06269145 0.070578225 0.029773828 0.06406712 0.020639332 0.03143198 0.017697418 0.008614265 0.016747802 0.002649436 0.0028344106 0.0022598815 0.004018076 0.0035036155 0.0035036155 0.0035036155 0.0018913702 0.001779928 0.0018360422 0.002649436 8.560099 4.751128 
701 2 7 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 -1 23 144 1 0 0.79809684 0.2019031 1.0 1.0 0.008171329 6.9352136 4.338517 4.8302562e-4 5.00083e-4 0.001453899 5.33767e-4 0.0018311783 9.929026e-4 0.003933777 0.0029857678 0.003337307 0.0114764925 0.002201276 0.01033954 0.006304528 0.009783206 0.020372 0.004272834 0.024041604 0.009518157 0.022466294 0.02539647 0.012795422 0.091766365 0.010070293 0.042735066 0.022375446 0.02994443 0.034393154 0.012540505 0.030713933 0.008171329 0.122477144 0.041961588 0.13991538 0.0994577 0.056606565 0.038722992 6.1575806e-4 8.2910736e-4 7.064123e-4 7.064123e-4 7.064123e-4 0.038615584 4.6581443e-4 4.8302562e-4 0.008171329 6.9352136 4.338517 
