dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint cpitch.order.stm.cpint cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint cpitch.weight.stm.cpint cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 11 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 53 96 4 600000 0 0 23 240 1 1 0.8176412 0.18235876 1.0 1.0 0.054741032 4.1912336 3.4624677 1.6797094e-4 0.0029744387 0.006056419 0.02123579 0.0018196108 0.033689957 0.04169667 0.054741032 0.22588113 0.10617865 0.20307456 0.043609846 0.11052362 0.032565337 0.02901875 0.04128256 9.2475006e-4 0.017879067 0.004610216 0.009224221 0.0037788479 5.5590295e-4 0.0051800665 3.7391306e-4 2.8988387e-4 2.6069235e-4 4.891927e-4 1.3460068e-4 9.924562e-5 1.3460068e-4 9.924562e-5 1.6797094e-4 9.924562e-5 9.924562e-5 9.924562e-5 1.8973814e-4 9.924562e-5 9.924562e-5 9.924562e-5 9.924562e-5 9.924562e-5 9.924562e-5 9.924562e-5 9.924562e-5 0.054741032 4.1912336 3.4624677 
701 1 12 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 61 96 4 600000 0 0 23 264 2 0 0.9353343 0.06466567 1.0 1.0 0.0106921205 6.547308 3.377397 3.012664e-4 0.0011191611 0.020678911 0.06563691 0.055093955 0.22166926 0.059733633 0.1838653 0.09137477 0.116665125 0.074185036 0.020058539 0.047255393 5.9079635e-4 0.012120987 0.0106921205 0.007233863 0.003651405 7.188172e-4 0.0053697047 3.1026165e-4 2.5599747e-4 1.3526657e-4 2.285733e-4 5.717184e-5 3.668194e-5 1.6362409e-4 3.668194e-5 1.823377e-4 3.668194e-5 3.668194e-5 3.668194e-5 6.457386e-5 3.668194e-5 3.668194e-5 3.668194e-5 3.668194e-5 3.668194e-5 3.668194e-5 3.668194e-5 3.668194e-5 3.668194e-5 3.668194e-5 3.668194e-5 0.0106921205 6.547308 3.377397 
701 1 13 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 72 96 4 600000 0 0 23 288 3 0 0.9635898 0.03641024 1.0 1.0 9.681772e-5 13.33437 3.2208683 2.6911981e-5 4.004084e-5 0.004378096 0.016112871 0.0022739857 0.0024145907 0.00274424 0.031349827 0.0027781695 3.059073e-4 0.14320433 0.008876919 0.16121168 0.070472844 0.25623137 0.14141554 0.015011328 0.06926326 0.008774148 0.03748437 0.015861377 1.3849928e-4 0.0028130652 0.0010226804 0.0016902267 5.485885e-4 9.681772e-5 7.6126127e-4 0.0022615641 4.9646074e-5 4.4853194e-5 6.8658235e-5 2.5457426e-5 2.0532058e-5 2.5457426e-5 2.0532058e-5 3.034681e-5 2.0532058e-5 2.0532058e-5 2.0532058e-5 2.6911981e-5 2.0532058e-5 2.0532058e-5 2.0532058e-5 9.681772e-5 13.33437 3.2208683 
701 2 1 "Schoenberg_I" NA 0 0 1 0 NA 0 0 0 NA NA 79 96 4 600000 0 -1 23 0 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 2 2 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 85 96 4 600000 0 -1 23 24 0 0 0.96706 0.032939937 1.0 1.0 6.299337e-4 10.632512 3.4133472 6.336897e-5 6.336897e-5 6.336897e-5 6.336897e-5 6.336897e-5 6.336897e-5 6.336897e-5 6.336897e-5 6.336897e-5 6.336897e-5 6.336897e-5 6.336897e-5 8.811645e-5 8.811645e-5 8.811645e-5 8.811645e-5 1.12626156e-4 1.12626156e-4 1.12626156e-4 1.6113474e-4 3.9805358e-4 0.0029248684 3.5118757e-4 0.0011308895 0.002903017 0.0054727406 0.013167303 0.0014678298 0.024349866 0.032016225 0.05810416 0.19814092 0.088476844 0.20313522 0.07583916 0.14426808 0.044209477 0.028889442 0.046816163 6.299337e-4 0.014100264 0.008422214 0.002706099 4.680077e-4 6.299337e-4 10.632512 3.4133472 
701 2 3 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 -1 23 48 1 0 0.98952955 0.01047042 0.99999994 1.0 0.15752375 2.6663587 2.8648407 2.0611044e-5 2.0611044e-5 2.0611044e-5 2.0611044e-5 2.0611044e-5 2.0611044e-5 2.0611044e-5 2.0611044e-5 2.0611044e-5 2.0611044e-5 2.0611044e-5 2.0611044e-5 2.0611044e-5 2.0611044e-5 2.0611044e-5 2.0611044e-5 2.0611044e-5 2.0611044e-5 3.5468674e-5 3.5468674e-5 3.5468674e-5 3.5468674e-5 5.0258666e-5 5.0258666e-5 5.0258666e-5 7.9709826e-5 2.2568982e-4 0.001843695 1.9660602e-4 6.8746903e-4 0.0018294823 0.0035144025 0.008652448 9.02564e-4 0.01624438 0.040440273 0.058422476 0.15752375 0.15434161 0.327886 0.14555092 0.029917618 0.019352479 0.03172475 0.15752375 2.6663587 2.8648407 
701 2 4 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 86 96 4 600000 0 -1 23 72 2 0 0.96530324 0.034696784 1.0 1.0 0.027466405 5.186188 2.8172946 2.2642314e-5 2.2642314e-5 2.2642314e-5 2.2642314e-5 2.2642314e-5 2.2642314e-5 2.2642314e-5 2.2642314e-5 2.2642314e-5 2.2642314e-5 2.2642314e-5 2.2642314e-5 2.2642314e-5 2.2642314e-5 2.2642314e-5 2.2642314e-5 3.5795292e-5 3.5795292e-5 3.5795292e-5 3.5795292e-5 4.8772614e-5 4.8772614e-5 4.8772614e-5 7.438192e-5 1.989393e-4 0.0017885248 2.105547e-4 8.9348765e-4 0.0016432542 0.0037328394 0.010773768 8.96546e-4 0.018676342 0.016940115 0.04932748 0.40310007 0.10531607 0.15578948 0.03968905 0.113674164 0.027466405 0.035651516 4.4343903e-4 0.013061664 0.027466405 5.186188 2.8172946 
701 2 5 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 84 96 4 600000 0 -1 23 96 2 0 0.96167564 0.038324337 1.0 1.0 0.13385566 2.90125 2.9010482 4.074866e-6 4.074866e-6 4.074866e-6 4.074866e-6 4.074866e-6 4.074866e-6 4.074866e-6 4.074866e-6 4.074866e-6 4.074866e-6 4.074866e-6 4.074866e-6 4.074866e-6 4.074866e-6 4.074866e-6 4.074866e-6 4.074866e-6 4.074866e-6 4.074866e-6 7.171378e-6 7.171378e-6 7.171378e-6 7.171378e-6 1.0213698e-5 1.0213698e-5 1.0213698e-5 1.6198579e-5 4.516885e-5 0.004492974 3.2608391e-4 0.0014858367 6.2194903e-4 0.008943928 0.01963816 0.043233514 0.027844759 0.00381294 0.1172116 0.13385566 0.2658674 0.219783 0.12014649 0.009403255 0.023134323 0.13385566 2.90125 2.9010482 
701 2 6 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 80 96 4 600000 0 -1 23 120 3 1 0.9191459 0.08085416 1.0 1.0 0.020035872 5.641271 3.2414567 3.317754e-5 3.317754e-5 3.317754e-5 3.317754e-5 3.317754e-5 3.317754e-5 3.317754e-5 3.317754e-5 3.317754e-5 3.317754e-5 3.317754e-5 3.317754e-5 3.317754e-5 3.317754e-5 3.317754e-5 3.317754e-5 3.317754e-5 5.3058564e-5 5.3058564e-5 5.3058564e-5 5.3058564e-5 7.228838e-5 7.228838e-5 7.228838e-5 1.0951961e-4 2.8384352e-4 0.0027035382 5.222043e-4 0.001604854 0.0021419155 0.0047060945 0.013458464 0.0012049364 0.023729794 0.020035872 0.06677592 0.23035952 0.13977765 0.17330678 0.0443517 0.12366667 0.03046742 0.04062265 0.0791776 0.020035872 5.641271 3.2414567 
701 2 7 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 -1 23 144 3 0 0.9803654 0.019634582 1.0 1.0 0.022162031 5.495766 2.7335258 2.4988506e-6 2.4988506e-6 2.4988506e-6 2.4988506e-6 2.4988506e-6 2.4988506e-6 2.4988506e-6 2.4988506e-6 2.4988506e-6 2.4988506e-6 2.4988506e-6 2.4988506e-6 2.4988506e-6 3.600918e-6 3.600918e-6 3.600918e-6 3.600918e-6 4.6961604e-6 4.6961604e-6 4.6961604e-6 6.872244e-6 1.7596538e-5 6.4455636e-4 1.5465963e-5 5.1216804e-5 3.9040536e-4 0.0015089061 0.0011207828 6.6794724e-5 0.022162031 0.0015945929 0.31230834 0.012851661 0.03889727 0.19864653 0.20761223 0.07263972 0.0022113838 0.087234095 0.025302542 8.306691e-4 2.230104e-4 0.012716479 8.8584144e-4 0.022162031 5.495766 2.7335258 
