dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpint-cpintfref cpitch.order.stm.cpint-cpintfref cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpint-cpintfref cpitch.weight.stm.cpint-cpintfref cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 1 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 0 0 NA NA 90 96 4 600000 0 0 23 0 0 0 0.5 0.5 1.0 1.0 0.022727273 5.4594316 5.45943 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 0.022727273 5.4594316 5.45943 
701 1 2 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 0 23 24 0 0 0.9957376 0.0042624422 1.0 1.0 0.0016469773 9.245963 2.5173216 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.010504065 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.0016469773 0.010504065 0.019323677 0.10700662 0.40331107 0.0895102 0.2989022 0.0016469773 9.245963 2.5173216 
701 1 3 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 62 96 4 600000 0 0 23 48 0 0 0.99810827 0.0018917564 1.0 1.0 1.5844681e-4 12.6237135 2.233079 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 1.5844681e-4 0.0017350323 1.5844681e-4 0.0029937776 1.5844681e-4 0.0036227375 0.002679207 0.0017350323 0.07126367 0.0017350323 0.25483668 0.0011050558 0.0987683 0.45464453 0.002679207 0.08345533 0.01178689 0.0023645659 1.5844681e-4 1.5844681e-4 12.6237135 2.233079 
701 1 4 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 57 96 4 600000 0 0 23 72 0 0 0.9919787 0.008021296 1.0 1.0 0.006672089 7.227646 2.7579067 1.5675415e-4 1.5675415e-4 1.5675415e-4 2.9243526e-4 5.623924e-4 1.5675415e-4 1.5675415e-4 0.0020343787 5.623924e-4 0.030251147 2.9243526e-4 0.006672089 0.0016342332 0.046649557 0.3162626 0.005747586 0.18820584 0.03520288 0.25005755 0.03858761 0.0016342332 0.053791758 5.623924e-4 0.008781547 2.9243526e-4 0.0038947123 0.0032313766 1.5675415e-4 0.0012332855 1.5675415e-4 4.2758914e-4 1.5675415e-4 1.5675415e-4 1.5675415e-4 1.5675415e-4 1.5675415e-4 1.5675415e-4 1.5675415e-4 1.5675415e-4 1.5675415e-4 1.5675415e-4 1.5675415e-4 1.5675415e-4 1.5675415e-4 0.006672089 7.227646 2.7579067 
701 1 5 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 55 96 4 600000 0 0 23 96 1 0 0.99184537 0.008154629 0.99999994 1.0 0.3829138 1.3849084 2.7674878 2.0979691e-4 0.00158788 0.0025645702 4.082319e-4 0.007993941 6.0584233e-4 0.010694933 0.039757054 0.0095381485 0.3829138 0.008341587 0.17115869 0.008766325 0.19390126 0.059396416 4.082319e-4 0.057990205 2.0979691e-4 0.00872772 0.016042698 2.0979691e-4 0.010810552 4.082319e-4 0.0025645702 6.0584233e-4 2.0979691e-4 2.0979691e-4 2.0979691e-4 2.0979691e-4 2.0979691e-4 4.082319e-4 2.0979691e-4 2.0979691e-4 2.0979691e-4 2.0979691e-4 2.0979691e-4 2.0979691e-4 2.0979691e-4 2.0979691e-4 2.0979691e-4 2.0979691e-4 2.0979691e-4 2.0979691e-4 2.0979691e-4 0.3829138 1.3849084 2.7674878 
701 1 6 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 51 96 4 600000 0 0 23 120 2 0 0.9866337 0.013366335 0.99999994 1.0 0.0020443061 8.934174 2.9692957 4.5780314e-5 0.003545657 0.018210398 6.580289e-5 0.015772229 0.0020443061 0.13323429 0.19298506 0.12717494 0.17579038 0.0035912981 0.22914684 0.0027583858 0.0099842325 0.055453144 6.580289e-5 0.008782223 5.0084834e-4 0.011687239 0.0036213503 4.5780314e-5 0.0047898865 4.5780314e-5 8.574193e-5 8.574193e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 2.5634114e-5 0.0020443061 8.934174 2.9692957 
701 1 7 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 76 96 4 600000 0 0 23 144 2 0 0.99137664 0.008623385 1.0 1.0 3.4160554e-4 11.515381 2.7851222 0.0018275743 3.4160554e-4 0.08595269 0.0084239775 0.26658428 0.20557898 0.016339578 0.20770676 0.0033014638 0.14030215 0.029915627 3.4160554e-4 0.011175459 3.4160554e-4 0.008991027 3.4160554e-4 0.0010870178 3.4160554e-4 0.002565453 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 3.4160554e-4 11.515381 2.7851222 
701 1 8 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 76 96 4 600000 0 0 23 168 0 0 0.9927635 0.0072364854 1.0 1.0 0.19790784 2.3370993 2.712965 1.5762371e-4 1.5762371e-4 1.5762371e-4 1.5762371e-4 1.5762371e-4 1.5762371e-4 1.5762371e-4 1.5762371e-4 1.5762371e-4 1.5762371e-4 1.5762371e-4 2.8251874e-4 1.5762371e-4 1.5762371e-4 4.0699833e-4 1.5762371e-4 2.8251874e-4 5.311965e-4 7.7899446e-4 1.5762371e-4 2.8251874e-4 0.009211727 1.5762371e-4 0.0037275546 1.5762371e-4 0.0022570936 0.12089011 0.0010262089 0.2999466 0.0012729857 0.19790784 0.16318233 0.013580192 0.14246468 7.7899446e-4 0.020476742 4.0699833e-4 0.0013962388 0.013459003 2.8251874e-4 4.0699833e-4 0.0017655464 1.5762371e-4 1.5762371e-4 0.19790784 2.3370993 2.712965 
701 1 9 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 58 96 4 600000 0 0 23 192 1 0 0.97631204 0.02368794 1.0 1.0 1.0592226e-4 13.204707 2.6471481 1.0592226e-4 1.0592226e-4 1.0592226e-4 1.0592226e-4 1.0592226e-4 1.0592226e-4 1.0592226e-4 1.0592226e-4 1.0592226e-4 1.0592226e-4 1.0592226e-4 1.8802384e-4 1.0592226e-4 1.0592226e-4 2.6923456e-4 1.0592226e-4 1.8802384e-4 3.498457e-4 0.0012958171 1.0592226e-4 1.8802384e-4 0.0087736 1.0592226e-4 0.005160171 1.0592226e-4 0.0017095779 0.099259 6.6852535e-4 0.29453063 0.0018640774 0.26057795 0.14909902 0.012178155 0.12378703 5.098003e-4 0.020987162 2.6923456e-4 0.0011658974 0.012595813 1.8802384e-4 2.6923456e-4 0.0019155067 1.0592226e-4 1.0592226e-4 1.0592226e-4 13.204707 2.6471481 
701 1 10 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 56 96 4 600000 0 0 23 216 0 0 0.9802394 0.01976066 0.99999994 1.0 0.2338069 2.0966105 3.168107 0.0011275751 0.0041052294 0.0055740774 0.0011275751 0.0070350696 0.012827158 0.0026254577 0.025687728 0.0011275751 0.124523945 0.2338069 0.09832659 0.16430156 0.0041052294 0.21885577 0.0026254577 0.0055740774 0.0454448 0.0011275751 0.0070350696 0.0011275751 0.0026254577 0.0011275751 0.0011275751 0.0041052294 0.0026254577 0.0011275751 0.0011275751 0.0011275751 0.0011275751 0.0011275751 0.0011275751 0.0011275751 0.0011275751 0.0011275751 0.0011275751 0.0011275751 0.0011275751 0.0011275751 0.0011275751 0.0011275751 0.0011275751 0.0011275751 0.0011275751 0.2338069 2.0966105 3.168107 
