dataset.id melody.id note.id melody.name vertint12 articulation comma voice ornament dyn phrase bioi deltast accidental mpitch cpitch barlength pulses tempo mode keysig dur onset cpitch.order.ltm.cpintfref-cpitch cpitch.order.stm.cpintfref-cpitch cpitch.weight.ltm cpitch.weight.stm cpitch.weight.ltm.cpintfref-cpitch cpitch.weight.stm.cpintfref-cpitch cpitch.probability cpitch.information.content cpitch.entropy cpitch.40 cpitch.47 cpitch.48 cpitch.49 cpitch.50 cpitch.51 cpitch.52 cpitch.53 cpitch.54 cpitch.55 cpitch.56 cpitch.57 cpitch.58 cpitch.59 cpitch.60 cpitch.61 cpitch.62 cpitch.63 cpitch.64 cpitch.65 cpitch.66 cpitch.67 cpitch.68 cpitch.69 cpitch.70 cpitch.71 cpitch.72 cpitch.73 cpitch.74 cpitch.75 cpitch.76 cpitch.77 cpitch.78 cpitch.79 cpitch.80 cpitch.81 cpitch.82 cpitch.83 cpitch.84 cpitch.85 cpitch.86 cpitch.88 cpitch.89 cpitch.90 probability information.content entropy 
701 1 11 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 53 96 4 600000 0 0 23 240 1 0 0.9225988 0.07740125 1.0 1.0 0.0072699953 7.10383 3.640612 3.789681e-4 5.061493e-4 0.004190125 3.789681e-4 0.0034472125 9.83557e-4 0.010922504 0.0072699953 0.0022501817 0.22089148 0.18271308 0.08640301 0.0011846538 0.0307714 0.065074295 0.0015179423 0.05692436 0.0037670985 0.09977564 0.024205841 0.001915191 0.04040912 0.0031787327 0.022519391 0.0044526835 0.0147103295 0.078301854 0.0011116521 0.01155256 0.002635806 0.0065259035 0.002581023 6.306741e-4 0.0010526723 5.6869833e-4 6.306741e-4 5.061493e-4 6.400004e-4 3.789681e-4 3.789681e-4 3.789681e-4 5.061493e-4 3.789681e-4 4.9847836e-4 0.0072699953 7.10383 3.640612 
701 1 12 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 61 96 4 600000 0 0 23 264 1 0 0.9883018 0.011698213 1.0 1.0 2.797218e-4 11.8037195 2.7405293 6.3264e-5 8.625462e-5 8.3004514e-4 6.3264e-5 0.105788395 0.0075072283 0.4228484 0.101331025 4.264456e-4 0.18674305 0.0075293686 0.047932383 1.9218202e-4 0.007025683 0.015671639 2.797218e-4 0.033702694 7.40611e-4 0.010936141 0.019653609 3.5881673e-4 0.009406926 6.174259e-4 0.005028539 8.8588276e-4 0.0031866727 0.005203482 2.003575e-4 0.0024599126 5.0518644e-4 0.0011954613 4.939472e-4 1.0917203e-4 1.889922e-4 9.77213e-5 1.0917203e-4 8.625462e-5 9.937065e-5 6.3264e-5 6.3264e-5 6.3264e-5 8.625462e-5 6.3264e-5 7.6031785e-5 2.797218e-4 11.8037195 2.7405293 
701 1 13 "Dallapiccola_quartina_2" NA 0 0 1 0 NA 0 24 1 NA NA 72 96 4 600000 0 0 23 288 1 0 0.96804494 0.03195511 0.99999994 1.0 0.021816846 5.5184135 3.2253294 2.9034016e-4 3.933452e-4 0.0036135935 2.9034016e-4 0.002944457 7.28333e-4 0.00987486 0.006773635 0.001882043 0.042604066 8.3310384e-4 0.05211958 8.8532286e-4 0.029276136 0.09320507 0.0013513293 0.43232065 0.0032317855 0.045159627 0.02275897 0.0015891893 0.06830703 0.0027043102 0.050846063 0.0038515392 0.01349585 0.021816846 8.9803926e-4 0.040593497 0.0022218218 0.0053046173 0.032781865 4.9545674e-4 8.481124e-4 4.4449797e-4 4.9545674e-4 3.933452e-4 4.640001e-4 2.9034016e-4 2.9034016e-4 2.9034016e-4 3.933452e-4 2.9034016e-4 3.5697498e-4 0.021816846 5.5184135 3.2253294 
701 2 1 "Schoenberg_I" NA 0 0 1 0 NA 0 0 0 NA NA 79 96 4 600000 0 -1 23 0 0 0 0.9593969 0.04060312 0.99999994 1.0 0.0024917233 8.64864 3.531109 2.1270798e-4 2.1270798e-4 2.1270798e-4 2.1270798e-4 2.1270798e-4 2.1270798e-4 4.795357e-4 0.0019991486 2.1270798e-4 0.0051427456 2.1270798e-4 0.0114407325 0.0065617845 0.0011233783 0.0653766 3.472368e-4 0.033264387 0.0011233783 0.033264387 0.1428106 0.0019991486 0.12738407 0.003947473 0.17438185 0.087861754 0.01293093 0.15837246 0.0051427456 0.06719048 0.002369001 0.020062769 0.027972406 3.472368e-4 0.0024917233 2.1270798e-4 9.962661e-4 2.1270798e-4 2.1270798e-4 2.1270798e-4 2.1270798e-4 2.1270798e-4 2.1270798e-4 2.1270798e-4 2.1270798e-4 0.0024917233 8.64864 3.531109 
701 2 2 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 85 96 4 600000 0 -1 23 24 1 0 0.9782132 0.02178681 1.0 1.0 4.1472198e-5 14.557496 2.6444921 4.1472198e-5 4.1472198e-5 4.1472198e-5 4.1472198e-5 4.1472198e-5 4.1472198e-5 9.499812e-5 4.0728433e-4 4.1472198e-5 0.0010673216 4.1472198e-5 0.00241193 0.0013683517 2.2629219e-4 0.01426196 6.835513e-5 0.0071611246 2.2629219e-4 0.0071611246 0.031635348 4.0728433e-4 0.02815488 8.150167e-4 0.03878062 0.019278558 0.0027326467 0.117114894 0.0010673216 0.014665531 4.8424324e-4 0.12805372 0.44793123 6.835513e-5 0.1334499 4.1472198e-5 2.0021484e-4 4.1472198e-5 4.1472198e-5 4.1472198e-5 4.1472198e-5 4.1472198e-5 4.1472198e-5 4.1472198e-5 4.1472198e-5 4.1472198e-5 14.557496 2.6444921 
701 2 3 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 83 96 4 600000 0 -1 23 48 0 0 0.86189556 0.13810445 1.0 1.0 4.2086266e-4 11.214362 3.6988938 4.2086266e-4 4.2086266e-4 4.2086266e-4 4.2086266e-4 4.2086266e-4 4.2086266e-4 8.3501416e-4 0.0029297655 4.2086266e-4 0.0068119103 4.2086266e-4 0.013947245 0.008473139 0.0017572748 0.066687666 6.334853e-4 0.03635134 0.0017572748 0.03635134 0.13453808 0.0029297655 0.12140891 0.0053763445 0.16097672 0.08696639 0.015566507 0.147637 0.0068119103 0.068347156 0.0034079244 0.023087634 0.031113986 6.334853e-4 0.0054246117 4.2086266e-4 0.0015806543 4.2086266e-4 4.2086266e-4 4.2086266e-4 9.235878e-4 4.2086266e-4 4.2086266e-4 4.2086266e-4 4.2086266e-4 4.2086266e-4 11.214362 3.6988938 
701 2 4 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 86 96 4 600000 0 -1 23 72 0 0 0.87915385 0.12084616 1.0 1.0 4.119359e-4 11.245293 3.676966 4.119359e-4 4.119359e-4 4.119359e-4 4.119359e-4 4.119359e-4 4.119359e-4 7.920236e-4 0.0027661282 4.119359e-4 0.0065034553 4.119359e-4 0.013481607 0.008118564 0.0016544499 0.066428386 6.061584e-4 0.035781756 0.0016544499 0.035781756 0.1358929 0.0027661282 0.12238134 0.005114241 0.16317958 0.08708432 0.0150772 0.14939973 0.0065034553 0.06811447 0.00322256 0.022528054 0.030534228 6.061584e-4 0.0047310507 4.119359e-4 0.0014882153 4.119359e-4 8.14268e-4 4.119359e-4 8.14268e-4 4.119359e-4 4.119359e-4 4.119359e-4 4.119359e-4 4.119359e-4 11.245293 3.676966 
701 2 5 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 84 96 4 600000 0 -1 23 96 0 0 0.8931393 0.10686069 1.0 1.0 4.1322247e-4 11.240793 3.6612425 4.1322247e-4 4.1322247e-4 4.1322247e-4 4.1322247e-4 4.1322247e-4 4.1322247e-4 7.6743955e-4 0.0026470765 4.1322247e-4 0.006267685 4.1322247e-4 0.01311486 0.007844916 0.0015834025 0.066184916 5.935495e-4 0.035311732 0.0015834025 0.035311732 0.13692354 0.0026470765 0.12310619 0.0049161827 0.16489254 0.087133095 0.014690108 0.15075792 0.006267685 0.06789133 0.003086204 0.022077894 0.030060628 5.935495e-4 0.0042779585 4.1322247e-4 0.0014252963 4.1322247e-4 7.523987e-4 4.1322247e-4 7.523987e-4 7.523987e-4 4.1322247e-4 4.1322247e-4 4.1322247e-4 4.1322247e-4 11.240793 3.6612425 
701 2 6 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 80 96 4 600000 0 -1 23 120 0 0 0.9036584 0.09634165 1.0 1.0 4.252122e-4 11.19953 3.652051 4.252122e-4 4.252122e-4 4.252122e-4 4.252122e-4 4.252122e-4 4.252122e-4 7.606223e-4 0.002570194 4.252122e-4 0.0061022723 4.252122e-4 0.012847023 0.00765029 0.0015423239 0.06596984 5.954746e-4 0.03494925 0.0015423239 0.03494925 0.13762689 0.002570194 0.12358592 0.004779607 0.16609824 0.087124065 0.014405879 0.15170194 0.0061022723 0.06769038 0.0029963283 0.021740733 0.029699592 5.954746e-4 0.0039872634 4.252122e-4 0.0013902421 4.252122e-4 7.245823e-4 7.245823e-4 7.245823e-4 7.245823e-4 4.252122e-4 4.252122e-4 4.252122e-4 4.252122e-4 11.19953 3.652051 
701 2 7 "Schoenberg_I" NA 0 0 1 0 NA 0 24 1 NA NA 75 96 4 600000 0 -1 23 144 0 0 0.9115466 0.08845342 1.0 1.0 0.002941014 8.409471 3.6480427 4.466352e-4 4.466352e-4 4.466352e-4 4.466352e-4 4.466352e-4 4.466352e-4 7.680447e-4 0.002524768 4.466352e-4 0.0059888875 4.466352e-4 0.012652709 0.007514136 0.0015240047 0.065777816 6.09424e-4 0.034668334 0.0015240047 0.034668334 0.13808051 0.002524768 0.1238795 0.004688517 0.16691412 0.08707278 0.014198229 0.15232873 0.0059888875 0.06750778 0.002941014 0.021488272 0.029423526 6.09424e-4 0.0037979372 7.1985385e-4 0.001376464 4.466352e-4 7.1985385e-4 7.1985385e-4 7.1985385e-4 7.1985385e-4 4.466352e-4 4.466352e-4 4.466352e-4 0.002941014 8.409471 3.6480427 
